,BatterTeam,Split,IsF3,YRA,NRA,NRA%,Year,Apps
1,ARI,Home,1,55,22,0.286,2025,77
3,ARI,Road,1,45,33,0.423,2025,78
1,ARI,Total,1,100,55,0.355,2025,155
5,ATL,Home,1,41,34,0.453,2025,75
7,ATL,Road,1,41,39,0.488,2025,80
3,ATL,Total,1,82,73,0.471,2025,155
9,BAL,Home,1,46,31,0.403,2025,77
11,BAL,Road,1,48,30,0.385,2025,78
5,BAL,Total,1,94,61,0.394,2025,155
13,BOS,Home,1,51,27,0.346,2025,78
15,BOS,Road,1,50,27,0.351,2025,77
7,BOS,Total,1,101,54,0.348,2025,155
17,CHC,Home,1,58,17,0.227,2025,75
19,CHC,Road,1,48,32,0.4,2025,80
9,CHC,Total,1,106,49,0.316,2025,155
21,CIN,Home,1,51,26,0.338,2025,77
23,CIN,Road,1,40,38,0.487,2025,78
11,CIN,Total,1,91,64,0.413,2025,155
25,CLE,Home,1,41,34,0.453,2025,75
27,CLE,Road,1,46,34,0.425,2025,80
13,CLE,Total,1,87,68,0.439,2025,155
29,COL,Home,1,54,26,0.325,2025,80
31,COL,Road,1,30,45,0.6,2025,75
15,COL,Total,1,84,71,0.458,2025,155
33,CWS,Home,1,52,28,0.35,2025,80
35,CWS,Road,1,41,34,0.453,2025,75
17,CWS,Total,1,93,62,0.4,2025,155
37,DET,Home,1,54,26,0.325,2025,80
39,DET,Road,1,43,32,0.427,2025,75
19,DET,Total,1,97,58,0.374,2025,155
41,HOU,Home,1,45,35,0.438,2025,80
43,HOU,Road,1,43,32,0.427,2025,75
21,HOU,Total,1,88,67,0.432,2025,155
45,KC,Home,1,44,36,0.45,2025,80
47,KC,Road,1,43,32,0.427,2025,75
23,KC,Total,1,87,68,0.439,2025,155
49,LAA,Home,1,47,28,0.373,2025,75
51,LAA,Road,1,53,27,0.338,2025,80
25,LAA,Total,1,100,55,0.355,2025,155
53,LAD,Home,1,54,26,0.325,2025,80
55,LAD,Road,1,44,31,0.413,2025,75
27,LAD,Total,1,98,57,0.368,2025,155
57,MIA,Home,1,49,29,0.372,2025,78
59,MIA,Road,1,45,32,0.416,2025,77
29,MIA,Total,1,94,61,0.394,2025,155
61,MIL,Home,1,48,30,0.385,2025,78
63,MIL,Road,1,51,26,0.338,2025,77
31,MIL,Total,1,99,56,0.361,2025,155
65,MIN,Home,1,50,30,0.375,2025,80
67,MIN,Road,1,40,35,0.467,2025,75
33,MIN,Total,1,90,65,0.419,2025,155
69,NYM,Home,1,54,26,0.325,2025,80
71,NYM,Road,1,47,28,0.373,2025,75
35,NYM,Total,1,101,54,0.348,2025,155
73,NYY,Home,1,50,25,0.333,2025,75
75,NYY,Road,1,50,30,0.375,2025,80
37,NYY,Total,1,100,55,0.355,2025,155
77,OAK,Home,1,52,23,0.307,2025,75
79,OAK,Road,1,42,38,0.475,2025,80
39,OAK,Total,1,94,61,0.394,2025,155
81,PHI,Home,1,48,27,0.36,2025,75
83,PHI,Road,1,40,40,0.5,2025,80
41,PHI,Total,1,88,67,0.432,2025,155
85,PIT,Home,1,54,26,0.325,2025,80
87,PIT,Road,1,36,39,0.52,2025,75
43,PIT,Total,1,90,65,0.419,2025,155
89,SD,Home,1,44,31,0.413,2025,75
91,SD,Road,1,52,28,0.35,2025,80
45,SD,Total,1,96,59,0.381,2025,155
93,SEA,Home,1,45,30,0.4,2025,75
95,SEA,Road,1,52,28,0.35,2025,80
47,SEA,Total,1,97,58,0.374,2025,155
97,SF,Home,1,42,33,0.44,2025,75
99,SF,Road,1,50,30,0.375,2025,80
49,SF,Total,1,92,63,0.406,2025,155
101,STL,Home,1,45,35,0.438,2025,80
103,STL,Road,1,41,34,0.453,2025,75
51,STL,Total,1,86,69,0.445,2025,155
105,TB,Home,1,47,33,0.412,2025,80
107,TB,Road,1,47,28,0.373,2025,75
53,TB,Total,1,94,61,0.394,2025,155
109,TEX,Home,1,49,28,0.364,2025,77
111,TEX,Road,1,50,28,0.359,2025,78
55,TEX,Total,1,99,56,0.361,2025,155
113,TOR,Home,1,43,32,0.427,2025,75
115,TOR,Road,1,46,34,0.425,2025,80
57,TOR,Total,1,89,66,0.426,2025,155
117,WSH,Home,1,42,36,0.462,2025,78
119,WSH,Road,1,41,36,0.468,2025,77
59,WSH,Total,1,83,72,0.465,2025,155
