,BatterTeam,Split,inning,YRA,NRA,NRA%,Year,Apps
299,SF,Total,9,25,122,0.83,2025,147
589,STL,Home,1,21,72,0.774,2025,93
590,STL,Home,2,26,67,0.72,2025,93
591,STL,Home,3,26,67,0.72,2025,93
592,STL,Home,4,21,72,0.774,2025,93
593,STL,Home,5,21,72,0.774,2025,93
594,STL,Home,6,36,57,0.613,2025,93
595,STL,Home,7,22,71,0.763,2025,93
596,STL,Home,8,24,69,0.742,2025,93
597,STL,Home,9,6,45,0.882,2025,51
600,STL,Road,1,23,65,0.739,2025,88
601,STL,Road,2,18,70,0.795,2025,88
602,STL,Road,3,20,68,0.773,2025,88
603,STL,Road,4,26,62,0.705,2025,88
604,STL,Road,5,22,66,0.75,2025,88
605,STL,Road,6,22,66,0.75,2025,88
606,STL,Road,7,26,62,0.705,2025,88
607,STL,Road,8,27,61,0.693,2025,88
608,STL,Road,9,28,60,0.682,2025,88
302,STL,Total,1,44,137,0.757,2025,181
303,STL,Total,2,44,137,0.757,2025,181
304,STL,Total,3,46,135,0.746,2025,181
305,STL,Total,4,47,134,0.74,2025,181
306,STL,Total,5,43,138,0.762,2025,181
307,STL,Total,6,58,123,0.68,2025,181
308,STL,Total,7,48,133,0.735,2025,181
309,STL,Total,8,51,130,0.718,2025,181
310,STL,Total,9,34,105,0.755,2025,139
613,TB,Home,1,31,56,0.644,2025,87
614,TB,Home,2,22,65,0.747,2025,87
615,TB,Home,3,26,61,0.701,2025,87
616,TB,Home,4,29,58,0.667,2025,87
617,TB,Home,5,15,72,0.828,2025,87
618,TB,Home,6,25,62,0.713,2025,87
619,TB,Home,7,22,65,0.747,2025,87
620,TB,Home,8,27,60,0.69,2025,87
621,TB,Home,9,10,38,0.792,2025,48
624,TB,Road,1,25,69,0.734,2025,94
625,TB,Road,2,22,72,0.766,2025,94
626,TB,Road,3,32,62,0.66,2025,94
627,TB,Road,4,31,63,0.67,2025,94
628,TB,Road,5,24,70,0.745,2025,94
629,TB,Road,6,22,72,0.766,2025,94
630,TB,Road,7,22,72,0.766,2025,94
631,TB,Road,8,18,76,0.809,2025,94
632,TB,Road,9,20,74,0.787,2025,94
315,TB,Total,1,56,125,0.691,2025,181
316,TB,Total,2,44,137,0.757,2025,181
317,TB,Total,3,58,123,0.68,2025,181
318,TB,Total,4,60,121,0.669,2025,181
319,TB,Total,5,39,142,0.785,2025,181
320,TB,Total,6,47,134,0.74,2025,181
321,TB,Total,7,44,137,0.757,2025,181
322,TB,Total,8,45,136,0.751,2025,181
323,TB,Total,9,30,112,0.789,2025,142
635,TEX,Home,1,19,68,0.782,2025,87
636,TEX,Home,2,25,62,0.713,2025,87
637,TEX,Home,3,23,64,0.736,2025,87
638,TEX,Home,4,18,69,0.793,2025,87
639,TEX,Home,5,20,67,0.77,2025,87
640,TEX,Home,6,22,65,0.747,2025,87
641,TEX,Home,7,22,65,0.747,2025,87
642,TEX,Home,8,14,73,0.839,2025,87
643,TEX,Home,9,7,38,0.844,2025,45
647,TEX,Road,1,30,65,0.684,2025,95
648,TEX,Road,2,20,75,0.789,2025,95
649,TEX,Road,3,36,59,0.621,2025,95
650,TEX,Road,4,24,71,0.747,2025,95
651,TEX,Road,5,27,68,0.716,2025,95
652,TEX,Road,6,26,69,0.726,2025,95
653,TEX,Road,7,22,73,0.768,2025,95
654,TEX,Road,8,26,69,0.726,2025,95
655,TEX,Road,9,24,71,0.747,2025,95
326,TEX,Total,1,49,133,0.731,2025,182
327,TEX,Total,2,45,137,0.753,2025,182
328,TEX,Total,3,59,123,0.676,2025,182
329,TEX,Total,4,42,140,0.769,2025,182
330,TEX,Total,5,47,135,0.742,2025,182
331,TEX,Total,6,48,134,0.736,2025,182
332,TEX,Total,7,44,138,0.758,2025,182
333,TEX,Total,8,40,142,0.78,2025,182
334,TEX,Total,9,31,109,0.779,2025,140
658,TOR,Home,1,28,65,0.699,2025,93
659,TOR,Home,2,21,72,0.774,2025,93
660,TOR,Home,3,30,63,0.677,2025,93
661,TOR,Home,4,23,70,0.753,2025,93
662,TOR,Home,5,33,60,0.645,2025,93
663,TOR,Home,6,32,61,0.656,2025,93
664,TOR,Home,7,31,62,0.667,2025,93
665,TOR,Home,8,31,62,0.667,2025,93
666,TOR,Home,9,13,31,0.705,2025,44
670,TOR,Road,1,22,66,0.75,2025,88
671,TOR,Road,2,21,67,0.761,2025,88
672,TOR,Road,3,24,64,0.727,2025,88
673,TOR,Road,4,22,66,0.75,2025,88
674,TOR,Road,5,24,64,0.727,2025,88
675,TOR,Road,6,24,64,0.727,2025,88
676,TOR,Road,7,21,67,0.761,2025,88
677,TOR,Road,8,24,63,0.724,2025,87
678,TOR,Road,9,19,68,0.782,2025,87
338,TOR,Total,1,50,131,0.724,2025,181
339,TOR,Total,2,42,139,0.768,2025,181
340,TOR,Total,3,54,127,0.702,2025,181
341,TOR,Total,4,45,136,0.751,2025,181
342,TOR,Total,5,57,124,0.685,2025,181
343,TOR,Total,6,56,125,0.691,2025,181
344,TOR,Total,7,52,129,0.713,2025,181
345,TOR,Total,8,55,125,0.694,2025,180
346,TOR,Total,9,32,99,0.756,2025,131
682,WSH,Home,1,25,63,0.716,2025,88
683,WSH,Home,2,21,67,0.761,2025,88
684,WSH,Home,3,23,65,0.739,2025,88
685,WSH,Home,4,23,65,0.739,2025,88
686,WSH,Home,5,16,72,0.818,2025,88
687,WSH,Home,6,24,64,0.727,2025,88
688,WSH,Home,7,17,71,0.807,2025,88
689,WSH,Home,8,23,65,0.739,2025,88
690,WSH,Home,9,15,45,0.75,2025,60
693,WSH,Road,1,27,67,0.713,2025,94
694,WSH,Road,2,20,74,0.787,2025,94
695,WSH,Road,3,16,78,0.83,2025,94
696,WSH,Road,4,30,64,0.681,2025,94
697,WSH,Road,5,24,70,0.745,2025,94
698,WSH,Road,6,33,61,0.649,2025,94
699,WSH,Road,7,27,67,0.713,2025,94
700,WSH,Road,8,22,72,0.766,2025,94
701,WSH,Road,9,28,66,0.702,2025,94
350,WSH,Total,1,52,130,0.714,2025,182
351,WSH,Total,2,41,141,0.775,2025,182
352,WSH,Total,3,39,143,0.786,2025,182
353,WSH,Total,4,53,129,0.709,2025,182
354,WSH,Total,5,40,142,0.78,2025,182
355,WSH,Total,6,57,125,0.687,2025,182
356,WSH,Total,7,44,138,0.758,2025,182
357,WSH,Total,8,45,137,0.753,2025,182
358,WSH,Total,9,43,111,0.721,2025,154
