,player_name,pitcher,p_throws,pitch_type,stand,PitchesThrown,%,H,Ball%,SwStr%,AVG,Hard%,GB%,FB%,Brl%,launch_speed,1B,2B,3B,HR,Split,Game,Team,Opp
1,Cristopher Sanchez,650911,L,SI,L,649,0.567,36.0,0.247,0.112,0.194,0.34,0.721,0.088,0.034,87.486,30,5,0,1,L,STL@PHI,PHI,STL
2,Cristopher Sanchez,650911,L,SL,L,342,0.299,9.0,0.383,0.26,0.123,0.122,0.633,0.245,0.02,81.51,8,0,0,1,L,STL@PHI,PHI,STL
0,Kyle Leahy,681517,R,CH,R,57,0.033,7.0,0.316,0.158,0.25,0.467,0.533,0.067,0.067,91.407,5,2,0,0,R,STL@PHI,STL,PHI
1,Kyle Leahy,681517,R,CU,R,201,0.117,6.0,0.468,0.119,0.122,0.515,0.485,0.273,0.121,93.0,3,2,0,1,R,STL@PHI,STL,PHI
2,Kyle Leahy,681517,R,FF,R,368,0.214,15.0,0.356,0.087,0.259,0.63,0.196,0.435,0.217,95.554,6,6,0,3,R,STL@PHI,STL,PHI
3,Kyle Leahy,681517,R,PO,R,1,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,STL@PHI,STL,PHI
4,Kyle Leahy,681517,R,SI,R,323,0.188,18.0,0.266,0.053,0.202,0.427,0.573,0.107,0.04,87.184,17,0,0,1,R,STL@PHI,STL,PHI
5,Kyle Leahy,681517,R,SL,R,409,0.238,24.0,0.284,0.125,0.245,0.379,0.494,0.161,0.057,85.216,19,4,0,1,R,STL@PHI,STL,PHI
6,Kyle Leahy,681517,R,ST,R,359,0.209,24.0,0.318,0.187,0.255,0.358,0.209,0.358,0.119,87.463,14,9,0,1,R,STL@PHI,STL,PHI
0,Kyle Leahy,681517,R,CH,L,353,0.213,21.0,0.405,0.136,0.259,0.379,0.576,0.091,0.091,88.802,17,1,1,2,L,STL@PHI,STL,PHI
1,Kyle Leahy,681517,R,CU,L,375,0.227,17.0,0.4,0.149,0.183,0.5,0.583,0.233,0.083,91.007,12,4,0,1,L,STL@PHI,STL,PHI
2,Kyle Leahy,681517,R,FF,L,580,0.35,37.0,0.417,0.069,0.319,0.554,0.435,0.239,0.152,92.579,23,10,0,4,L,STL@PHI,STL,PHI
3,Kyle Leahy,681517,R,SI,L,43,0.026,10.0,0.233,0.07,0.4,0.625,0.438,0.25,0.062,94.688,7,2,0,1,L,STL@PHI,STL,PHI
4,Kyle Leahy,681517,R,SL,L,205,0.124,18.0,0.307,0.078,0.383,0.455,0.455,0.227,0.091,92.075,12,4,0,2,L,STL@PHI,STL,PHI
5,Kyle Leahy,681517,R,ST,L,99,0.06,8.0,0.384,0.04,0.364,0.588,0.471,0.294,0.059,92.471,7,1,0,0,L,STL@PHI,STL,PHI
0,Carlos Rodon,607074,L,CH,R,646,0.206,37.0,0.415,0.189,0.208,0.348,0.558,0.167,0.058,85.409,28,6,0,3,R,TOR@NYY,NYY,TOR
1,Carlos Rodon,607074,L,CU,R,129,0.041,2.0,0.55,0.085,0.2,0.143,0.857,0.0,0.0,84.643,1,1,0,0,R,TOR@NYY,NYY,TOR
2,Carlos Rodon,607074,L,FF,R,1420,0.454,55.0,0.351,0.105,0.217,0.472,0.269,0.386,0.096,90.02,29,14,0,12,R,TOR@NYY,NYY,TOR
3,Carlos Rodon,607074,L,SI,R,138,0.044,11.0,0.399,0.08,0.297,0.4,0.543,0.2,0.057,88.471,9,2,0,0,R,TOR@NYY,NYY,TOR
4,Carlos Rodon,607074,L,SL,R,797,0.255,23.0,0.37,0.181,0.117,0.382,0.491,0.245,0.055,89.152,11,8,0,4,R,TOR@NYY,NYY,TOR
0,Carlos Rodon,607074,L,CH,L,7,0.007,1.0,0.571,0.143,0.333,0.5,0.0,0.0,0.0,95.55,1,0,0,0,L,TOR@NYY,NYY,TOR
1,Carlos Rodon,607074,L,CU,L,5,0.005,1.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,94.5,0,0,0,1,L,TOR@NYY,NYY,TOR
2,Carlos Rodon,607074,L,FC,L,1,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,TOR@NYY,NYY,TOR
3,Carlos Rodon,607074,L,FF,L,317,0.325,11.0,0.338,0.063,0.186,0.318,0.341,0.341,0.091,88.386,8,1,0,2,L,TOR@NYY,NYY,TOR
4,Carlos Rodon,607074,L,SI,L,302,0.309,7.0,0.371,0.149,0.121,0.311,0.6,0.178,0.044,84.033,6,1,0,0,L,TOR@NYY,NYY,TOR
5,Carlos Rodon,607074,L,SL,L,344,0.352,18.0,0.401,0.186,0.214,0.294,0.431,0.314,0.098,85.212,11,3,0,4,L,TOR@NYY,NYY,TOR
0,Jose Soriano,667755,R,CU,R,693,0.307,28.0,0.364,0.212,0.204,0.305,0.415,0.207,0.122,84.023,16,9,1,2,R,TOR@NYY,TOR,NYY
1,Jose Soriano,667755,R,FF,R,281,0.125,9.0,0.324,0.093,0.176,0.333,0.194,0.444,0.083,90.617,5,2,0,2,R,TOR@NYY,TOR,NYY
2,Jose Soriano,667755,R,FS,R,111,0.049,7.0,0.505,0.153,0.28,0.357,0.429,0.143,0.071,89.757,6,1,0,0,R,TOR@NYY,TOR,NYY
3,Jose Soriano,667755,R,SI,R,935,0.415,65.0,0.336,0.108,0.272,0.502,0.705,0.106,0.063,90.558,55,7,0,3,R,TOR@NYY,TOR,NYY
4,Jose Soriano,667755,R,SL,R,235,0.104,16.0,0.464,0.166,0.25,0.395,0.553,0.079,0.105,86.145,12,3,0,1,R,TOR@NYY,TOR,NYY
0,Jose Soriano,667755,R,CH,L,10,0.004,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,TOR@NYY,TOR,NYY
1,Jose Soriano,667755,R,CU,L,642,0.226,20.0,0.405,0.146,0.175,0.281,0.547,0.281,0.094,86.308,14,1,0,5,L,TOR@NYY,TOR,NYY
2,Jose Soriano,667755,R,FF,L,494,0.174,27.0,0.368,0.105,0.267,0.385,0.321,0.41,0.154,88.662,18,3,0,6,L,TOR@NYY,TOR,NYY
3,Jose Soriano,667755,R,FS,L,582,0.204,19.0,0.462,0.187,0.147,0.313,0.699,0.036,0.036,85.033,17,1,0,1,L,TOR@NYY,TOR,NYY
4,Jose Soriano,667755,R,SI,L,1080,0.379,80.0,0.366,0.067,0.294,0.556,0.728,0.089,0.047,92.159,64,12,0,4,L,TOR@NYY,TOR,NYY
5,Jose Soriano,667755,R,SL,L,38,0.013,2.0,0.368,0.263,0.25,0.5,0.25,0.75,0.25,85.275,0,1,0,1,L,TOR@NYY,TOR,NYY
0,Janson Junk,676083,R,CH,R,82,0.064,2.0,0.451,0.085,0.133,0.182,0.727,0.182,0.091,88.582,2,0,0,0,R,WSH@MIA,MIA,WSH
1,Janson Junk,676083,R,CU,R,36,0.028,2.0,0.417,0.028,0.182,0.4,0.8,0.1,0.0,92.9,1,1,0,0,R,WSH@MIA,MIA,WSH
2,Janson Junk,676083,R,FF,R,424,0.332,28.0,0.283,0.066,0.272,0.537,0.305,0.256,0.061,93.646,18,8,0,2,R,WSH@MIA,MIA,WSH
3,Janson Junk,676083,R,SI,R,36,0.028,4.0,0.278,0.056,0.308,0.231,0.538,0.154,0.0,91.115,4,0,0,0,R,WSH@MIA,MIA,WSH
4,Janson Junk,676083,R,SL,R,345,0.27,22.0,0.328,0.119,0.224,0.456,0.481,0.203,0.101,89.608,16,4,0,2,R,WSH@MIA,MIA,WSH
5,Janson Junk,676083,R,ST,R,355,0.278,19.0,0.29,0.107,0.19,0.341,0.352,0.318,0.091,87.577,12,3,0,4,R,WSH@MIA,MIA,WSH
0,Janson Junk,676083,R,CH,L,318,0.174,22.0,0.443,0.097,0.328,0.574,0.689,0.115,0.049,90.195,16,5,0,1,L,WSH@MIA,MIA,WSH
