,player_name,pitcher,p_throws,pitch_type,stand,PitchesThrown,%,H,Ball%,SwStr%,AVG,Hard%,GB%,FB%,Brl%,launch_speed,1B,2B,3B,HR,Split,Game,Team,Opp
5,Nolan McLean,690997,R,SI,L,473,0.261,29.0,0.292,0.059,0.207,0.437,0.476,0.214,0.029,90.314,22,6,0,1,L,NYM@CWS,NYM,CWS
6,Nolan McLean,690997,R,SL,L,16,0.009,0.0,0.562,0.062,0.0,0.0,1.0,0.0,0.0,89.6,0,0,0,0,L,NYM@CWS,NYM,CWS
7,Nolan McLean,690997,R,ST,L,249,0.138,11.0,0.458,0.076,0.458,0.381,0.333,0.286,0.143,85.019,8,1,0,2,L,NYM@CWS,NYM,CWS
0,Cal Quantrill,615698,R,CH,R,3,0.002,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,LAA@TEX,TEX,LAA
1,Cal Quantrill,615698,R,CU,R,149,0.097,8.0,0.362,0.107,0.222,0.394,0.485,0.333,0.061,85.742,5,1,0,2,R,LAA@TEX,TEX,LAA
2,Cal Quantrill,615698,R,FC,R,302,0.196,23.0,0.351,0.056,0.315,0.397,0.338,0.324,0.103,88.563,14,3,2,4,R,LAA@TEX,TEX,LAA
3,Cal Quantrill,615698,R,FF,R,311,0.201,25.0,0.386,0.09,0.357,0.339,0.286,0.268,0.107,87.448,17,3,1,4,R,LAA@TEX,TEX,LAA
4,Cal Quantrill,615698,R,FS,R,219,0.142,22.0,0.388,0.151,0.319,0.429,0.339,0.232,0.107,90.582,11,5,2,4,R,LAA@TEX,TEX,LAA
5,Cal Quantrill,615698,R,SI,R,402,0.26,21.0,0.284,0.055,0.191,0.198,0.438,0.25,0.01,81.202,17,4,0,0,R,LAA@TEX,TEX,LAA
6,Cal Quantrill,615698,R,SL,R,158,0.102,16.0,0.411,0.063,0.4,0.595,0.243,0.297,0.243,92.765,8,5,0,3,R,LAA@TEX,TEX,LAA
0,Cal Quantrill,615698,R,CH,L,2,0.001,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,99.4,0,0,0,0,L,LAA@TEX,TEX,LAA
1,Cal Quantrill,615698,R,CU,L,141,0.084,5.0,0.433,0.085,0.208,0.381,0.143,0.619,0.048,92.314,3,1,0,1,L,LAA@TEX,TEX,LAA
2,Cal Quantrill,615698,R,FC,L,453,0.271,30.0,0.296,0.115,0.265,0.482,0.271,0.353,0.2,91.475,19,4,0,7,L,LAA@TEX,TEX,LAA
3,Cal Quantrill,615698,R,FF,L,359,0.214,14.0,0.401,0.109,0.212,0.49,0.333,0.353,0.137,93.927,9,2,1,2,L,LAA@TEX,TEX,LAA
4,Cal Quantrill,615698,R,FS,L,472,0.282,26.0,0.477,0.097,0.224,0.372,0.574,0.191,0.032,86.571,20,3,0,3,L,LAA@TEX,TEX,LAA
5,Cal Quantrill,615698,R,SI,L,240,0.143,12.0,0.321,0.083,0.273,0.655,0.207,0.414,0.172,96.359,5,6,0,1,L,LAA@TEX,TEX,LAA
6,Cal Quantrill,615698,R,SL,L,7,0.004,1.0,0.429,0.143,0.333,1.0,0.0,0.5,1.0,106.6,0,1,0,0,L,LAA@TEX,TEX,LAA
0,George Klassen,691946,R,CH,R,18,0.094,1.0,0.556,0.0,0.5,0.5,0.0,1.0,0.5,95.6,0,0,0,1,R,LAA@TEX,LAA,TEX
1,George Klassen,691946,R,CU,R,11,0.058,1.0,0.636,0.091,1.0,1.0,0.0,0.0,0.0,104.7,1,0,0,0,R,LAA@TEX,LAA,TEX
2,George Klassen,691946,R,FF,R,74,0.387,2.0,0.432,0.041,0.154,0.385,0.462,0.231,0.077,91.915,1,1,0,0,R,LAA@TEX,LAA,TEX
3,George Klassen,691946,R,SI,R,14,0.073,0.0,0.643,0.071,0.0,0.0,0.0,1.0,0.0,88.9,0,0,0,0,R,LAA@TEX,LAA,TEX
4,George Klassen,691946,R,SL,R,74,0.387,1.0,0.392,0.257,0.059,0.444,0.778,0.0,0.0,87.489,1,0,0,0,R,LAA@TEX,LAA,TEX
0,George Klassen,691946,R,CH,L,59,0.281,4.0,0.407,0.153,0.286,0.385,0.692,0.154,0.077,84.969,3,1,0,0,L,LAA@TEX,LAA,TEX
1,George Klassen,691946,R,CU,L,8,0.038,0.0,0.5,0.125,0.0,0.0,1.0,0.0,0.0,73.9,0,0,0,0,L,LAA@TEX,LAA,TEX
2,George Klassen,691946,R,FF,L,96,0.457,6.0,0.406,0.156,0.3,0.4,0.533,0.133,0.067,87.487,4,2,0,0,L,LAA@TEX,LAA,TEX
3,George Klassen,691946,R,SI,L,8,0.038,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,LAA@TEX,LAA,TEX
4,George Klassen,691946,R,SL,L,39,0.186,2.0,0.282,0.308,0.167,0.5,0.167,0.5,0.333,83.017,1,0,0,1,L,LAA@TEX,LAA,TEX
0,Tomoyuki Sugano,608372,R,CU,R,77,0.038,2.0,0.494,0.052,0.167,0.417,0.417,0.333,0.167,84.283,1,0,0,1,R,CLE@COL,COL,CLE
1,Tomoyuki Sugano,608372,R,FC,R,248,0.121,15.0,0.387,0.069,0.246,0.345,0.379,0.241,0.155,88.205,9,2,0,4,R,CLE@COL,COL,CLE
2,Tomoyuki Sugano,608372,R,FF,R,331,0.162,24.0,0.338,0.088,0.312,0.571,0.411,0.304,0.107,95.009,16,5,0,3,R,CLE@COL,COL,CLE
3,Tomoyuki Sugano,608372,R,FS,R,276,0.135,9.0,0.453,0.141,0.13,0.375,0.575,0.225,0.2,87.748,4,2,0,3,R,CLE@COL,COL,CLE
4,Tomoyuki Sugano,608372,R,SI,R,497,0.243,43.0,0.278,0.024,0.331,0.52,0.415,0.236,0.089,93.459,31,8,1,3,R,CLE@COL,COL,CLE
5,Tomoyuki Sugano,608372,R,SL,R,100,0.049,7.0,0.51,0.07,0.292,0.364,0.409,0.227,0.136,89.886,4,1,0,2,R,CLE@COL,COL,CLE
6,Tomoyuki Sugano,608372,R,ST,R,517,0.253,38.0,0.348,0.132,0.295,0.353,0.31,0.345,0.06,87.145,26,8,0,4,R,CLE@COL,COL,CLE
0,Tomoyuki Sugano,608372,R,CU,L,306,0.126,21.0,0.418,0.065,0.375,0.434,0.491,0.283,0.132,89.358,13,2,2,4,L,CLE@COL,COL,CLE
1,Tomoyuki Sugano,608372,R,FC,L,286,0.118,22.0,0.346,0.063,0.301,0.471,0.314,0.457,0.214,93.033,10,4,0,8,L,CLE@COL,COL,CLE
2,Tomoyuki Sugano,608372,R,FF,L,548,0.227,36.0,0.359,0.064,0.275,0.532,0.294,0.404,0.165,92.86,13,8,2,13,L,CLE@COL,COL,CLE
3,Tomoyuki Sugano,608372,R,FS,L,735,0.304,47.0,0.43,0.148,0.23,0.245,0.541,0.157,0.069,84.45,35,5,1,6,L,CLE@COL,COL,CLE
4,Tomoyuki Sugano,608372,R,SI,L,276,0.114,20.0,0.333,0.029,0.317,0.459,0.262,0.361,0.164,92.497,9,6,2,3,L,CLE@COL,COL,CLE
5,Tomoyuki Sugano,608372,R,SL,L,93,0.038,3.0,0.43,0.108,0.136,0.429,0.357,0.5,0.214,94.486,0,1,0,2,L,CLE@COL,COL,CLE
6,Tomoyuki Sugano,608372,R,ST,L,175,0.072,10.0,0.371,0.04,0.27,0.344,0.25,0.375,0.156,84.588,6,1,0,3,L,CLE@COL,COL,CLE
0,Foster Griffin,656492,L,CH,R,257,0.15,10.0,0.471,0.148,0.172,0.277,0.553,0.128,0.0,80.191,8,2,0,0,R,CLE@COL,CLE,COL
1,Foster Griffin,656492,L,CU,R,181,0.106,15.0,0.343,0.138,0.319,0.389,0.528,0.222,0.111,89.217,12,1,0,2,R,CLE@COL,CLE,COL
2,Foster Griffin,656492,L,FC,R,600,0.35,33.0,0.238,0.112,0.216,0.374,0.466,0.237,0.092,85.509,20,7,0,6,R,CLE@COL,CLE,COL
3,Foster Griffin,656492,L,FF,R,273,0.159,14.0,0.399,0.073,0.28,0.417,0.278,0.444,0.139,90.894,8,2,0,4,R,CLE@COL,CLE,COL
4,Foster Griffin,656492,L,FS,R,110,0.064,9.0,0.473,0.145,0.237,0.4,0.28,0.32,0.0,87.62,7,2,0,0,R,CLE@COL,CLE,COL
5,Foster Griffin,656492,L,SI,R,128,0.075,5.0,0.336,0.062,0.263,0.444,0.5,0.222,0.111,93.972,4,0,0,1,R,CLE@COL,CLE,COL
6,Foster Griffin,656492,L,ST,R,166,0.097,13.0,0.307,0.108,0.371,0.5,0.462,0.269,0.154,88.296,8,2,0,3,R,CLE@COL,CLE,COL
0,Foster Griffin,656492,L,CU,L,44,0.072,5.0,0.318,0.045,0.455,0.5,0.6,0.3,0.3,91.54,2,0,1,2,L,CLE@COL,CLE,COL
1,Foster Griffin,656492,L,FC,L,146,0.239,8.0,0.199,0.144,0.229,0.448,0.276,0.414,0.172,91.09,3,2,0,3,L,CLE@COL,CLE,COL
2,Foster Griffin,656492,L,FF,L,117,0.191,1.0,0.393,0.068,0.043,0.3,0.4,0.5,0.0,90.92,1,0,0,0,L,CLE@COL,CLE,COL
3,Foster Griffin,656492,L,FS,L,27,0.044,1.0,0.444,0.185,0.125,0.0,0.0,0.333,0.0,81.8,0,1,0,0,L,CLE@COL,CLE,COL
4,Foster Griffin,656492,L,SI,L,108,0.177,4.0,0.333,0.102,0.2,0.176,0.765,0.059,0.0,77.429,4,0,0,0,L,CLE@COL,CLE,COL
5,Foster Griffin,656492,L,ST,L,169,0.277,7.0,0.408,0.16,0.159,0.444,0.37,0.296,0.111,89.656,3,2,0,2,L,CLE@COL,CLE,COL
0,Jake Bennett,687562,L,CH,R,265,0.312,14.0,0.347,0.196,0.212,0.308,0.404,0.346,0.058,84.279,10,3,0,1,R,SF@BOS,BOS,SF
1,Jake Bennett,687562,L,CU,R,39,0.046,1.0,0.564,0.077,0.143,0.2,0.8,0.2,0.2,79.72,1,0,0,0,R,SF@BOS,BOS,SF
2,Jake Bennett,687562,L,FC,R,22,0.026,2.0,0.273,0.227,0.4,0.6,0.6,0.0,0.0,94.2,2,0,0,0,R,SF@BOS,BOS,SF
3,Jake Bennett,687562,L,FF,R,339,0.399,21.0,0.292,0.124,0.233,0.395,0.355,0.303,0.092,87.432,13,5,0,3,R,SF@BOS,BOS,SF
4,Jake Bennett,687562,L,SI,R,148,0.174,17.0,0.277,0.047,0.34,0.489,0.622,0.178,0.089,89.136,12,3,0,2,R,SF@BOS,BOS,SF
5,Jake Bennett,687562,L,ST,R,36,0.042,1.0,0.528,0.111,0.2,0.667,0.0,0.667,0.0,98.367,1,0,0,0,R,SF@BOS,BOS,SF
0,Jake Bennett,687562,L,CH,L,37,0.123,2.0,0.243,0.216,0.2,0.167,0.5,0.167,0.0,76.817,2,0,0,0,L,SF@BOS,BOS,SF
1,Jake Bennett,687562,L,CU,L,4,0.013,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,85.3,1,0,0,0,L,SF@BOS,BOS,SF
2,Jake Bennett,687562,L,FC,L,26,0.087,1.0,0.346,0.154,0.25,0.25,0.5,0.5,0.0,82.125,1,0,0,0,L,SF@BOS,BOS,SF
3,Jake Bennett,687562,L,FF,L,65,0.217,4.0,0.477,0.108,0.286,0.5,0.3,0.2,0.0,87.27,4,0,0,0,L,SF@BOS,BOS,SF
4,Jake Bennett,687562,L,SI,L,128,0.427,4.0,0.266,0.047,0.114,0.185,0.778,0.037,0.0,80.004,4,0,0,0,L,SF@BOS,BOS,SF
5,Jake Bennett,687562,L,ST,L,40,0.133,1.0,0.475,0.175,0.1,0.25,0.375,0.25,0.0,82.125,1,0,0,0,L,SF@BOS,BOS,SF
0,Matt Wilkinson,683363,L,CH,R,3,0.273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,SF@BOS,SF,BOS
1,Matt Wilkinson,683363,L,FF,R,8,0.727,1.0,0.25,0.0,0.333,0.0,0.333,0.333,0.0,74.967,1,0,0,0,R,SF@BOS,SF,BOS
0,Matt Wilkinson,683363,L,FC,L,1,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,L,SF@BOS,SF,BOS
1,Matt Wilkinson,683363,L,FF,L,10,0.714,0.0,0.3,0.0,0.0,0.333,0.333,0.333,0.0,82.033,0,0,0,0,L,SF@BOS,SF,BOS
2,Matt Wilkinson,683363,L,SL,L,3,0.214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,SF@BOS,SF,BOS
0,Blake Snell,605483,L,CH,R,276,0.297,12.0,0.322,0.254,0.179,0.278,0.574,0.222,0.037,77.393,9,3,0,0,R,PIT@LAD,LAD,PIT
1,Blake Snell,605483,L,CU,R,213,0.23,9.0,0.437,0.207,0.17,0.44,0.48,0.16,0.08,86.752,5,4,0,0,R,PIT@LAD,LAD,PIT
2,Blake Snell,605483,L,FF,R,407,0.439,27.0,0.346,0.091,0.318,0.275,0.42,0.232,0.043,86.129,23,1,0,3,R,PIT@LAD,LAD,PIT
3,Blake Snell,605483,L,SL,R,32,0.034,0.0,0.531,0.156,0.0,0.0,0.0,0.0,0.0,79.5,0,0,0,0,R,PIT@LAD,LAD,PIT
0,Blake Snell,605483,L,CH,L,7,0.02,1.0,0.714,0.0,1.0,0.0,0.0,0.0,0.0,81.0,0,1,0,0,L,PIT@LAD,LAD,PIT
1,Blake Snell,605483,L,CU,L,70,0.199,1.0,0.357,0.2,0.053,0.2,0.7,0.1,0.0,77.34,1,0,0,0,L,PIT@LAD,LAD,PIT
2,Blake Snell,605483,L,FF,L,161,0.459,7.0,0.354,0.118,0.25,0.316,0.579,0.211,0.105,85.821,6,1,0,0,L,PIT@LAD,LAD,PIT
3,Blake Snell,605483,L,SL,L,113,0.322,5.0,0.389,0.274,0.227,0.286,0.571,0.0,0.0,86.036,4,1,0,0,L,PIT@LAD,LAD,PIT
0,Carmen Mlodzinski,669387,R,CH,R,60,0.039,6.0,0.3,0.283,0.316,0.375,0.25,0.125,0.125,82.775,5,1,0,0,R,PIT@LAD,PIT,LAD
1,Carmen Mlodzinski,669387,R,CU,R,110,0.071,5.0,0.336,0.164,0.208,0.588,0.529,0.176,0.118,92.694,5,0,0,0,R,PIT@LAD,PIT,LAD
2,Carmen Mlodzinski,669387,R,FC,R,15,0.01,0.0,0.2,0.067,0.0,0.5,0.25,0.25,0.0,92.45,0,0,0,0,R,PIT@LAD,PIT,LAD
3,Carmen Mlodzinski,669387,R,FF,R,415,0.269,25.0,0.378,0.077,0.284,0.484,0.406,0.234,0.125,92.733,16,3,1,5,R,PIT@LAD,PIT,LAD
4,Carmen Mlodzinski,669387,R,FS,R,89,0.058,2.0,0.36,0.169,0.077,0.267,0.467,0.067,0.0,77.813,2,0,0,0,R,PIT@LAD,PIT,LAD
5,Carmen Mlodzinski,669387,R,SI,R,429,0.279,33.0,0.343,0.035,0.337,0.478,0.633,0.1,0.011,91.869,26,7,0,0,R,PIT@LAD,PIT,LAD
6,Carmen Mlodzinski,669387,R,SL,R,204,0.132,16.0,0.387,0.088,0.327,0.419,0.628,0.14,0.047,88.7,13,3,0,0,R,PIT@LAD,PIT,LAD
7,Carmen Mlodzinski,669387,R,ST,R,218,0.142,11.0,0.367,0.092,0.216,0.237,0.447,0.211,0.053,84.618,8,2,0,1,R,PIT@LAD,PIT,LAD
0,Carmen Mlodzinski,669387,R,CH,L,177,0.095,10.0,0.39,0.232,0.213,0.333,0.593,0.074,0.037,82.244,8,2,0,0,L,PIT@LAD,PIT,LAD
1,Carmen Mlodzinski,669387,R,CU,L,225,0.121,11.0,0.369,0.098,0.256,0.405,0.541,0.162,0.054,83.489,7,4,0,0,L,PIT@LAD,PIT,LAD
2,Carmen Mlodzinski,669387,R,FC,L,33,0.018,5.0,0.303,0.121,0.556,0.5,0.125,0.5,0.25,94.662,3,0,0,2,L,PIT@LAD,PIT,LAD
3,Carmen Mlodzinski,669387,R,FF,L,671,0.361,49.0,0.361,0.082,0.299,0.504,0.328,0.314,0.073,92.977,30,14,1,4,L,PIT@LAD,PIT,LAD
4,Carmen Mlodzinski,669387,R,FS,L,375,0.202,19.0,0.4,0.144,0.216,0.347,0.431,0.264,0.0,85.31,14,4,1,0,L,PIT@LAD,PIT,LAD
5,Carmen Mlodzinski,669387,R,SI,L,121,0.065,8.0,0.38,0.025,0.32,0.565,0.261,0.391,0.174,95.883,7,0,0,1,L,PIT@LAD,PIT,LAD
6,Carmen Mlodzinski,669387,R,SL,L,130,0.07,11.0,0.238,0.138,0.282,0.485,0.242,0.364,0.121,92.336,6,3,0,2,L,PIT@LAD,PIT,LAD
7,Carmen Mlodzinski,669387,R,ST,L,129,0.069,5.0,0.364,0.085,0.238,0.5,0.429,0.143,0.214,91.4,2,1,0,2,L,PIT@LAD,PIT,LAD
0,Bryce Miller,682243,R,CU,R,70,0.049,4.0,0.429,0.171,0.235,0.455,0.364,0.182,0.0,91.1,4,0,0,0,R,CHC@SEA,SEA,CHC
1,Bryce Miller,682243,R,FC,R,47,0.033,2.0,0.34,0.234,0.286,0.429,0.143,0.714,0.286,89.814,0,0,0,2,R,CHC@SEA,SEA,CHC
2,Bryce Miller,682243,R,FF,R,581,0.404,33.0,0.269,0.143,0.243,0.431,0.255,0.363,0.098,88.875,17,5,0,11,R,CHC@SEA,SEA,CHC
3,Bryce Miller,682243,R,FS,R,224,0.156,11.0,0.357,0.188,0.172,0.41,0.436,0.256,0.103,87.123,4,5,1,1,R,CHC@SEA,SEA,CHC
4,Bryce Miller,682243,R,PO,R,1,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,CHC@SEA,SEA,CHC
5,Bryce Miller,682243,R,SI,R,252,0.175,20.0,0.294,0.04,0.317,0.607,0.508,0.23,0.049,94.557,15,4,0,1,R,CHC@SEA,SEA,CHC
6,Bryce Miller,682243,R,SL,R,124,0.086,6.0,0.387,0.145,0.286,0.444,0.333,0.222,0.111,89.028,6,0,0,0,R,CHC@SEA,SEA,CHC
7,Bryce Miller,682243,R,ST,R,140,0.097,8.0,0.507,0.1,0.222,0.077,0.692,0.192,0.038,79.708,8,0,0,0,R,CHC@SEA,SEA,CHC
0,Bryce Miller,682243,R,CU,L,161,0.11,9.0,0.441,0.13,0.231,0.536,0.571,0.107,0.107,89.657,6,2,0,1,L,CHC@SEA,SEA,CHC
1,Bryce Miller,682243,R,FC,L,51,0.035,3.0,0.353,0.176,0.3,0.2,0.5,0.5,0.0,85.12,2,0,0,1,L,CHC@SEA,SEA,CHC
2,Bryce Miller,682243,R,FF,L,604,0.413,32.0,0.318,0.109,0.242,0.391,0.282,0.336,0.082,89.979,15,10,1,6,L,CHC@SEA,SEA,CHC
3,Bryce Miller,682243,R,FS,L,416,0.284,26.0,0.317,0.18,0.224,0.383,0.481,0.284,0.062,88.18,15,6,0,5,L,CHC@SEA,SEA,CHC
4,Bryce Miller,682243,R,SI,L,91,0.062,7.0,0.341,0.044,0.438,0.286,0.286,0.429,0.143,88.136,4,1,0,2,L,CHC@SEA,SEA,CHC
5,Bryce Miller,682243,R,SL,L,119,0.081,6.0,0.328,0.168,0.316,0.412,0.294,0.235,0.176,89.418,1,2,1,2,L,CHC@SEA,SEA,CHC
6,Bryce Miller,682243,R,ST,L,22,0.015,1.0,0.455,0.0,0.25,0.25,0.5,0.5,0.0,86.5,1,0,0,0,L,CHC@SEA,SEA,CHC
0,Shota Imanaga,684007,L,CU,R,93,0.028,3.0,0.43,0.022,0.375,0.5,0.625,0.125,0.125,88.238,3,0,0,0,R,CHC@SEA,CHC,SEA
1,Shota Imanaga,684007,L,FF,R,1492,0.453,77.0,0.334,0.098,0.235,0.494,0.186,0.472,0.145,92.616,38,9,1,29,R,CHC@SEA,CHC,SEA
2,Shota Imanaga,684007,L,FS,R,1281,0.389,82.0,0.321,0.22,0.219,0.316,0.46,0.265,0.081,85.281,51,16,0,15,R,CHC@SEA,CHC,SEA
3,Shota Imanaga,684007,L,SI,R,92,0.028,8.0,0.293,0.054,0.286,0.571,0.571,0.179,0.071,92.418,6,1,0,1,R,CHC@SEA,CHC,SEA
4,Shota Imanaga,684007,L,SL,R,23,0.007,1.0,0.261,0.304,0.25,0.333,0.333,0.0,0.0,80.433,1,0,0,0,R,CHC@SEA,CHC,SEA
5,Shota Imanaga,684007,L,ST,R,310,0.094,11.0,0.335,0.097,0.204,0.275,0.275,0.3,0.05,85.718,8,2,0,1,R,CHC@SEA,CHC,SEA
0,Shota Imanaga,684007,L,CU,L,3,0.003,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,CHC@SEA,CHC,SEA
1,Shota Imanaga,684007,L,FF,L,499,0.437,27.0,0.345,0.068,0.22,0.429,0.324,0.429,0.152,89.506,14,5,0,8,L,CHC@SEA,CHC,SEA
2,Shota Imanaga,684007,L,FS,L,143,0.125,7.0,0.294,0.28,0.171,0.211,0.526,0.211,0.0,79.916,6,1,0,0,L,CHC@SEA,CHC,SEA
3,Shota Imanaga,684007,L,SI,L,78,0.068,7.0,0.218,0.103,0.241,0.458,0.542,0.292,0.083,92.671,4,1,0,2,L,CHC@SEA,CHC,SEA
4,Shota Imanaga,684007,L,SL,L,17,0.015,1.0,0.471,0.176,0.5,0.5,0.0,0.5,0.0,87.0,1,0,0,0,L,CHC@SEA,CHC,SEA
5,Shota Imanaga,684007,L,ST,L,401,0.351,17.0,0.387,0.18,0.198,0.259,0.148,0.444,0.093,86.494,9,3,1,4,L,CHC@SEA,CHC,SEA
0,Walker Buehler,621111,R,CH,R,24,0.013,1.0,0.542,0.125,0.25,0.333,0.667,0.333,0.333,82.033,0,0,0,1,R,MIN@SD,SD,MIN
1,Walker Buehler,621111,R,CU,R,83,0.044,5.0,0.458,0.181,0.227,0.643,0.357,0.429,0.286,87.15,1,1,0,3,R,MIN@SD,SD,MIN
2,Walker Buehler,621111,R,FC,R,303,0.162,18.0,0.363,0.083,0.31,0.315,0.481,0.204,0.13,85.791,8,6,0,4,R,MIN@SD,SD,MIN
3,Walker Buehler,621111,R,FF,R,401,0.214,24.0,0.406,0.045,0.333,0.667,0.349,0.413,0.222,96.602,15,1,0,8,R,MIN@SD,SD,MIN
4,Walker Buehler,621111,R,SI,R,458,0.244,23.0,0.319,0.033,0.211,0.344,0.556,0.133,0.022,87.709,18,5,0,0,R,MIN@SD,SD,MIN
5,Walker Buehler,621111,R,SL,R,345,0.184,12.0,0.409,0.142,0.158,0.375,0.464,0.214,0.054,88.948,11,0,0,1,R,MIN@SD,SD,MIN
6,Walker Buehler,621111,R,ST,R,260,0.139,13.0,0.412,0.185,0.159,0.172,0.362,0.259,0.103,82.459,6,1,0,6,R,MIN@SD,SD,MIN
0,Walker Buehler,621111,R,CH,L,338,0.142,26.0,0.482,0.107,0.313,0.433,0.533,0.183,0.083,89.543,19,3,0,4,L,MIN@SD,SD,MIN
1,Walker Buehler,621111,R,CU,L,377,0.159,27.0,0.416,0.109,0.3,0.275,0.449,0.246,0.072,87.571,19,5,1,2,L,MIN@SD,SD,MIN
2,Walker Buehler,621111,R,FC,L,590,0.248,37.0,0.315,0.103,0.268,0.328,0.466,0.224,0.06,85.41,28,5,2,2,L,MIN@SD,SD,MIN
3,Walker Buehler,621111,R,FF,L,553,0.233,27.0,0.385,0.052,0.29,0.412,0.388,0.2,0.075,89.655,20,3,1,3,L,MIN@SD,SD,MIN
4,Walker Buehler,621111,R,SI,L,285,0.12,15.0,0.382,0.046,0.227,0.556,0.422,0.244,0.089,91.589,12,3,0,0,L,MIN@SD,SD,MIN
5,Walker Buehler,621111,R,SL,L,199,0.084,17.0,0.322,0.095,0.327,0.356,0.4,0.244,0.044,85.358,14,2,0,1,L,MIN@SD,SD,MIN
6,Walker Buehler,621111,R,ST,L,34,0.014,3.0,0.324,0.088,0.429,0.429,0.143,0.714,0.143,94.986,1,1,0,1,L,MIN@SD,SD,MIN
0,Bailey Ober,641927,R,CH,R,429,0.241,26.0,0.34,0.166,0.243,0.38,0.479,0.239,0.07,89.156,15,8,0,3,R,MIN@SD,MIN,SD
1,Bailey Ober,641927,R,CU,R,32,0.018,2.0,0.375,0.094,0.5,0.333,0.333,0.333,0.0,73.9,0,1,0,1,R,MIN@SD,MIN,SD
2,Bailey Ober,641927,R,FF,R,521,0.292,31.0,0.294,0.117,0.25,0.525,0.198,0.416,0.188,92.69,14,11,0,6,R,MIN@SD,MIN,SD
3,Bailey Ober,641927,R,SI,R,117,0.066,14.0,0.299,0.026,0.424,0.636,0.424,0.242,0.212,93.142,8,2,0,4,R,MIN@SD,MIN,SD
4,Bailey Ober,641927,R,SL,R,357,0.2,37.0,0.3,0.112,0.33,0.46,0.41,0.26,0.06,90.419,25,9,0,3,R,MIN@SD,MIN,SD
5,Bailey Ober,641927,R,ST,R,326,0.183,11.0,0.411,0.23,0.169,0.167,0.333,0.278,0.028,83.917,8,2,0,1,R,MIN@SD,MIN,SD
0,Bailey Ober,641927,R,CH,L,810,0.368,54.0,0.379,0.127,0.242,0.254,0.395,0.297,0.081,85.165,38,7,0,9,L,MIN@SD,MIN,SD
1,Bailey Ober,641927,R,CU,L,86,0.039,4.0,0.419,0.047,0.571,0.286,0.143,0.571,0.286,88.557,1,2,0,1,L,MIN@SD,MIN,SD
2,Bailey Ober,641927,R,FF,L,849,0.385,61.0,0.322,0.064,0.295,0.396,0.23,0.39,0.102,90.79,36,14,0,11,L,MIN@SD,MIN,SD
3,Bailey Ober,641927,R,SI,L,10,0.005,0.0,0.3,0.1,0.0,0.5,0.5,0.0,0.0,97.05,0,0,0,0,L,MIN@SD,MIN,SD
4,Bailey Ober,641927,R,SL,L,332,0.151,15.0,0.307,0.081,0.211,0.316,0.211,0.316,0.105,85.828,7,2,0,6,L,MIN@SD,MIN,SD
5,Bailey Ober,641927,R,ST,L,117,0.053,7.0,0.376,0.068,0.25,0.286,0.238,0.381,0.238,87.348,1,4,0,2,L,MIN@SD,MIN,SD
0,Mitch Bratt,683352,L,CH,R,61,0.131,5.0,0.377,0.066,0.278,0.412,0.235,0.235,0.0,85.871,4,1,0,0,R,CIN@ARI,ARI,CIN
1,Mitch Bratt,683352,L,CU,R,21,0.045,0.0,0.429,0.048,0.0,0.0,0.0,0.0,0.0,81.05,0,0,0,0,R,CIN@ARI,ARI,CIN
2,Mitch Bratt,683352,L,FF,R,217,0.466,12.0,0.382,0.065,0.273,0.514,0.2,0.257,0.114,90.274,8,2,0,2,R,CIN@ARI,ARI,CIN
3,Mitch Bratt,683352,L,SI,R,14,0.03,1.0,0.571,0.0,0.5,0.5,0.0,1.0,0.5,94.05,0,0,0,1,R,CIN@ARI,ARI,CIN
4,Mitch Bratt,683352,L,SL,R,60,0.129,3.0,0.367,0.15,0.429,0.375,0.375,0.375,0.125,77.138,1,2,0,0,R,CIN@ARI,ARI,CIN
5,Mitch Bratt,683352,L,SV,R,93,0.2,1.0,0.355,0.086,0.043,0.231,0.231,0.615,0.0,83.246,0,1,0,0,R,CIN@ARI,ARI,CIN
0,Mitch Bratt,683352,L,FF,L,41,0.295,2.0,0.366,0.073,0.167,0.2,0.4,0.5,0.1,89.99,1,0,0,1,L,CIN@ARI,ARI,CIN
1,Mitch Bratt,683352,L,SI,L,38,0.273,2.0,0.289,0.0,0.2,0.3,0.6,0.3,0.1,85.2,1,0,0,1,L,CIN@ARI,ARI,CIN
2,Mitch Bratt,683352,L,SL,L,4,0.029,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,L,CIN@ARI,ARI,CIN
