,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp
14,Bryan Reynolds,668804,L,668804,SI,69.0,24.0,0.348,0.065,0.382,0.894,0.15900000000000003,91.08387096774193,0.5,62,0.113,0.468,0.548,0.258,0.194,0.107,0.067,19,2,0,3,PIT@LAA,PIT,LAA
15,Bryan Reynolds,668804,L,668804,SL,53.0,12.0,0.226,0.268,0.2451132075471698,0.584,0.13199999999999998,88.54375,0.625,32,0.125,0.5,0.438,0.219,0.281,0.396,0.0,7,4,0,1,PIT@LAA,PIT,LAA
16,Bryan Reynolds,668804,L,668804,ST,16.0,2.0,0.125,0.217,0.21152941176470585,0.488,0.187,89.51,1.0,10,0.1,0.7,0.4,0.2,0.4,0.353,0.0,1,0,0,1,PIT@LAA,PIT,LAA
18,Andrew McCutchen,457705,L,457705,CH,47.0,10.0,0.213,0.106,0.26988679245283015,0.6,0.08499999999999999,84.52564102564102,0.583,39,0.026,0.282,0.667,0.179,0.128,0.151,0.113,6,4,0,0,PIT@LAA,PIT,LAA
19,Andrew McCutchen,457705,L,457705,CU,25.0,4.0,0.16,0.093,0.2839,0.62,0.16,83.77368421052631,0.571,19,0.158,0.316,0.474,0.105,0.263,0.2,0.1,2,1,0,1,PIT@LAA,PIT,LAA
20,Andrew McCutchen,457705,L,457705,FC,15.0,3.0,0.2,0.119,0.256,0.561,0.067,83.51111111111112,0.5,9,0.0,0.333,0.778,0.0,0.222,0.353,0.118,2,1,0,0,PIT@LAA,PIT,LAA
21,Andrew McCutchen,457705,L,457705,FF,92.0,29.0,0.315,0.095,0.4067090909090909,0.949,0.20700000000000002,90.61351351351351,0.51,74,0.095,0.446,0.23,0.297,0.392,0.164,0.155,20,4,0,5,PIT@LAA,PIT,LAA
23,Andrew McCutchen,457705,L,457705,SI,44.0,14.0,0.318,0.08,0.43685964912280706,1.011,0.22700000000000004,94.12424242424242,0.667,33,0.091,0.606,0.455,0.182,0.273,0.207,0.224,10,1,0,3,PIT@LAA,PIT,LAA
24,Andrew McCutchen,457705,L,457705,SL,33.0,3.0,0.091,0.188,0.20425641025641023,0.413,0.091,81.15,0.6,16,0.0,0.188,0.562,0.0,0.312,0.436,0.103,2,0,0,1,PIT@LAA,PIT,LAA
25,Andrew McCutchen,457705,L,457705,ST,13.0,2.0,0.154,0.13,0.19999999999999998,0.445,0.07700000000000001,81.52000000000001,0.25,10,0.0,0.2,0.4,0.2,0.2,0.214,0.071,1,1,0,0,PIT@LAA,PIT,LAA
27,Oneil Cruz,665833,L,665833,CH,5.0,3.0,0.6,0.267,0.8233999999999998,2.0,0.7999999999999999,96.86666666666667,0.333,3,0.333,0.333,0.0,0.667,0.333,0.4,0.0,1,1,0,1,PIT@LAA,PIT,LAA
28,Oneil Cruz,665833,L,665833,CU,27.0,5.0,0.185,0.333,0.24467857142857138,0.584,0.185,86.23636363636363,0.667,11,0.091,0.273,0.636,0.0,0.273,0.571,0.036,3,0,1,1,PIT@LAA,PIT,LAA
29,Oneil Cruz,665833,L,665833,FC,8.0,2.0,0.25,0.25,0.21375,0.5,0.0,91.83333333333333,0.667,6,0.0,0.5,0.5,0.167,0.333,0.25,0.0,2,0,0,0,PIT@LAA,PIT,LAA
30,Oneil Cruz,665833,L,665833,FF,33.0,8.0,0.242,0.09,0.3526410256410256,0.814,0.21300000000000002,95.14399999999999,0.417,25,0.12,0.56,0.4,0.2,0.28,0.205,0.154,3,4,0,1,PIT@LAA,PIT,LAA
32,Oneil Cruz,665833,L,665833,SI,38.0,7.0,0.184,0.118,0.224025,0.503,0.10499999999999998,87.95666666666666,0.5,30,0.033,0.5,0.7,0.167,0.1,0.238,0.024,5,1,0,1,PIT@LAA,PIT,LAA
33,Oneil Cruz,665833,L,665833,SL,44.0,13.0,0.295,0.168,0.3560212765957447,0.84,0.20500000000000002,87.20571428571428,0.385,35,0.057,0.314,0.571,0.2,0.171,0.191,0.043,8,3,0,2,PIT@LAA,PIT,LAA
34,Oneil Cruz,665833,L,665833,ST,13.0,0.0,0.0,0.185,0.09293333333333333,0.133,0.0,86.62,1.0,5,0.0,0.4,0.8,0.2,0.0,0.533,0.133,0,0,0,0,PIT@LAA,PIT,LAA
36,Joey Bart,663698,L,663698,CH,28.0,10.0,0.357,0.177,0.3723793103448276,0.879,0.14300000000000002,85.4590909090909,0.471,22,0.045,0.409,0.182,0.364,0.409,0.207,0.034,8,1,0,1,PIT@LAA,PIT,LAA
37,Joey Bart,663698,L,663698,CU,10.0,0.0,0.0,0.096,0.06609090909090909,0.091,0.0,67.44999999999999,0.5,4,0.0,0.25,0.25,0.25,0.25,0.545,0.0,0,0,0,0,PIT@LAA,PIT,LAA
38,Joey Bart,663698,L,663698,FC,7.0,3.0,0.429,0.044,0.5319999999999999,1.286,0.428,87.13333333333333,0.333,6,0.167,0.333,0.5,0.333,0.167,0.143,0.0,2,0,0,1,PIT@LAA,PIT,LAA
39,Joey Bart,663698,L,663698,FF,38.0,11.0,0.289,0.119,0.39380851063829786,0.9,0.185,87.81200000000001,0.455,25,0.16,0.32,0.44,0.2,0.24,0.277,0.106,8,1,0,2,PIT@LAA,PIT,LAA
41,Joey Bart,663698,L,663698,SI,21.0,8.0,0.381,0.054,0.4587826086956522,1.084,0.28600000000000003,89.55000000000001,0.571,18,0.167,0.389,0.611,0.167,0.222,0.167,0.083,6,0,0,2,PIT@LAA,PIT,LAA
42,Joey Bart,663698,L,663698,SL,16.0,1.0,0.062,0.171,0.09305882352941175,0.18,0.0,75.52000000000001,0.5,10,0.0,0.1,0.8,0.1,0.1,0.353,0.0,1,0,0,0,PIT@LAA,PIT,LAA
43,Joey Bart,663698,L,663698,ST,4.0,1.0,0.25,0.077,0.312,0.75,0.25,94.30000000000001,0.5,2,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0,1,0,0,PIT@LAA,PIT,LAA
45,Jared Triolo,669707,L,669707,CH,34.0,7.0,0.206,0.202,0.2613684210526315,0.583,0.088,83.47916666666667,0.3,24,0.042,0.292,0.583,0.292,0.125,0.263,0.105,6,0,0,1,PIT@LAA,PIT,LAA
46,Jared Triolo,669707,L,669707,CU,14.0,4.0,0.286,0.143,0.3026666666666667,0.69,0.07100000000000001,85.22222222222223,0.2,9,0.0,0.222,0.444,0.222,0.333,0.333,0.0,3,1,0,0,PIT@LAA,PIT,LAA
47,Jared Triolo,669707,L,669707,FC,14.0,1.0,0.071,0.18,0.08914285714285715,0.214,0.072,78.05,0.167,10,0.1,0.1,0.3,0.3,0.3,0.286,0.0,0,1,0,0,PIT@LAA,PIT,LAA
48,Jared Triolo,669707,L,669707,FF,56.0,15.0,0.268,0.119,0.34074626865671637,0.757,0.10699999999999998,88.94736842105263,0.357,38,0.026,0.316,0.237,0.342,0.395,0.279,0.162,11,3,0,1,PIT@LAA,PIT,LAA
50,Jared Triolo,669707,L,669707,SI,26.0,10.0,0.385,0.043,0.39103333333333334,0.89,0.03799999999999998,84.71428571428571,0.385,21,0.095,0.333,0.381,0.429,0.19,0.167,0.133,9,1,0,0,PIT@LAA,PIT,LAA
51,Jared Triolo,669707,L,669707,SL,20.0,2.0,0.1,0.147,0.13333333333333333,0.293,0.04999999999999999,85.8,0.286,11,0.091,0.182,0.364,0.091,0.545,0.429,0.048,1,1,0,0,PIT@LAA,PIT,LAA
52,Jared Triolo,669707,L,669707,ST,5.0,0.0,0.0,0.059,0.20342857142857143,0.286,0.0,84.93333333333334,0.0,3,0.0,0.0,0.333,0.0,0.333,0.286,0.143,0,0,0,0,PIT@LAA,PIT,LAA
53,Tommy Pham,502054,L,502054,CH,55.0,8.0,0.145,0.123,0.17633928571428573,0.416,0.11000000000000001,91.26097560975609,0.438,41,0.122,0.439,0.61,0.171,0.22,0.25,0.018,4,3,0,1,PIT@LAA,PIT,LAA
55,Tommy Pham,502054,L,502054,CU,27.0,8.0,0.296,0.049,0.408,0.962,0.26000000000000006,93.58571428571429,0.643,21,0.286,0.571,0.333,0.333,0.333,0.188,0.156,3,4,0,1,PIT@LAA,PIT,LAA
56,Tommy Pham,502054,L,502054,FC,15.0,2.0,0.133,0.06,0.21116666666666664,0.396,0.0,87.72727272727273,0.111,11,0.091,0.182,0.091,0.182,0.636,0.263,0.158,2,0,0,0,PIT@LAA,PIT,LAA
57,Tommy Pham,502054,L,502054,FF,92.0,27.0,0.293,0.057,0.39326470588235296,0.935,0.283,92.8328947368421,0.562,76,0.158,0.487,0.342,0.355,0.276,0.165,0.097,17,2,0,8,PIT@LAA,PIT,LAA
59,Tommy Pham,502054,L,502054,SI,40.0,10.0,0.25,0.051,0.2853260869565217,0.615,0.025000000000000022,94.12352941176471,0.615,34,0.029,0.588,0.618,0.324,0.059,0.149,0.128,9,1,0,0,PIT@LAA,PIT,LAA
60,Tommy Pham,502054,L,502054,SL,38.0,7.0,0.184,0.099,0.260425,0.62,0.21100000000000002,80.56896551724138,0.154,29,0.069,0.172,0.448,0.172,0.276,0.225,0.05,4,0,1,2,PIT@LAA,PIT,LAA
61,Tommy Pham,502054,L,502054,ST,10.0,3.0,0.3,0.026,0.4046363636363636,0.964,0.3,89.04285714285713,0.667,7,0.143,0.429,0.286,0.286,0.143,0.273,0.0,2,0,0,1,PIT@LAA,PIT,LAA
63,Adam Frazier,624428,L,624428,CH,3.0,0.0,0.0,0.25,0.0,0.0,0.0,99.3,1.0,1,0.0,1.0,0.0,1.0,0.0,0.667,0.0,0,0,0,0,PIT@LAA,PIT,LAA
64,Adam Frazier,624428,L,624428,CU,4.0,1.0,0.25,0.0,0.5035,1.25,0.75,85.675,1.0,4,0.25,0.25,0.5,0.0,0.25,0.0,0.0,0,0,0,1,PIT@LAA,PIT,LAA
65,Adam Frazier,624428,L,624428,FC,6.0,1.0,0.167,0.16,0.22171428571428572,0.453,0.0,72.7,0.0,6,0.0,0.0,0.167,0.167,0.167,0.0,0.143,1,0,0,0,PIT@LAA,PIT,LAA
66,Adam Frazier,624428,L,624428,FF,24.0,6.0,0.25,0.074,0.3249259259259259,0.75,0.16699999999999998,83.75500000000001,0.286,20,0.0,0.25,0.55,0.2,0.15,0.148,0.111,4,1,0,1,PIT@LAA,PIT,LAA
69,Adam Frazier,624428,L,624428,SI,29.0,4.0,0.138,0.038,0.2189142857142857,0.424,0.0,86.17200000000001,0.444,25,0.04,0.24,0.64,0.24,0.12,0.114,0.114,4,0,0,0,PIT@LAA,PIT,LAA
70,Adam Frazier,624428,L,624428,SL,18.0,3.0,0.167,0.145,0.1923684210526316,0.433,0.05499999999999999,77.59230769230768,0.0,13,0.0,0.077,0.385,0.077,0.308,0.263,0.053,2,1,0,0,PIT@LAA,PIT,LAA
71,Adam Frazier,624428,L,624428,ST,11.0,1.0,0.091,0.143,0.13183333333333333,0.258,0.0,77.62222222222222,0.0,9,0.0,0.0,0.444,0.111,0.333,0.167,0.0,1,0,0,0,PIT@LAA,PIT,LAA
72,Isiah Kiner-Falefa,643396,L,643396,CH,32.0,4.0,0.125,0.158,0.15745714285714282,0.325,0.0,86.86818181818181,0.375,22,0.045,0.318,0.636,0.227,0.136,0.286,0.086,4,0,0,0,PIT@LAA,PIT,LAA
73,Isiah Kiner-Falefa,643396,L,643396,CU,19.0,3.0,0.158,0.098,0.21572727272727274,0.408,0.0,77.41818181818182,0.0,11,0.0,0.0,0.545,0.182,0.273,0.417,0.0,3,0,0,0,PIT@LAA,PIT,LAA
74,Isiah Kiner-Falefa,643396,L,643396,FC,17.0,5.0,0.294,0.079,0.31905263157894737,0.721,0.059,83.0,0.143,15,0.0,0.333,0.467,0.2,0.267,0.105,0.105,4,1,0,0,PIT@LAA,PIT,LAA
75,Isiah Kiner-Falefa,643396,L,643396,FF,83.0,23.0,0.277,0.052,0.29380898876404493,0.675,0.07199999999999995,87.9054794520548,0.341,73,0.027,0.37,0.411,0.274,0.288,0.112,0.056,20,1,1,1,PIT@LAA,PIT,LAA
77,Isiah Kiner-Falefa,643396,L,643396,SI,34.0,9.0,0.265,0.028,0.3065,0.709,0.14699999999999996,87.21875,0.462,32,0.031,0.344,0.562,0.344,0.062,0.081,0.054,6,2,0,1,PIT@LAA,PIT,LAA
78,Isiah Kiner-Falefa,643396,L,643396,SL,27.0,6.0,0.222,0.065,0.2968181818181818,0.623,0.037000000000000005,85.66666666666667,0.25,21,0.0,0.238,0.571,0.238,0.143,0.182,0.091,5,1,0,0,PIT@LAA,PIT,LAA
79,Isiah Kiner-Falefa,643396,L,643396,ST,6.0,1.0,0.167,0.091,0.22599999999999998,0.453,0.0,85.95,0.333,4,0.0,0.25,0.25,0.5,0.25,0.286,0.0,1,0,0,0,PIT@LAA,PIT,LAA
0,Taylor Ward,621493,R,621493,CH,42.0,11.0,0.262,0.143,0.324625,0.721,0.119,90.425,0.467,28,0.071,0.5,0.429,0.214,0.321,0.32,0.1,6,5,0,0,PIT@LAA,LAA,PIT
2,Taylor Ward,621493,R,621493,FC,54.0,13.0,0.241,0.135,0.3006349206349206,0.659,0.07400000000000001,87.5,0.429,40,0.05,0.325,0.425,0.275,0.25,0.234,0.141,11,1,0,1,PIT@LAA,LAA,PIT
3,Taylor Ward,621493,R,621493,FF,259.0,67.0,0.259,0.097,0.3715204081632653,0.88,0.274,93.73694581280787,0.561,203,0.167,0.522,0.232,0.207,0.522,0.19,0.109,35,12,1,19,PIT@LAA,LAA,PIT
6,Taylor Ward,621493,R,621493,SI,143.0,38.0,0.266,0.059,0.3514819277108434,0.802,0.175,93.30252100840336,0.557,119,0.118,0.479,0.471,0.252,0.261,0.16,0.112,25,7,0,6,PIT@LAA,LAA,PIT
7,Taylor Ward,621493,R,621493,SL,171.0,28.0,0.164,0.137,0.22338797814207648,0.507,0.12799999999999997,87.53553719008264,0.441,121,0.074,0.331,0.438,0.215,0.273,0.285,0.059,16,7,0,5,PIT@LAA,LAA,PIT
8,Taylor Ward,621493,R,621493,ST,56.0,11.0,0.196,0.09,0.2875333333333333,0.679,0.23299999999999998,86.07272727272728,0.368,33,0.091,0.273,0.364,0.242,0.333,0.383,0.05,6,1,0,4,PIT@LAA,LAA,PIT
10,Luis Rengifo,650859,R,650859,CH,94.0,28.0,0.298,0.131,0.3443092783505155,0.816,0.202,88.74025974025975,0.625,77,0.091,0.39,0.558,0.169,0.247,0.184,0.031,19,4,0,5,PIT@LAA,LAA,PIT
12,Luis Rengifo,650859,R,650859,FC,66.0,13.0,0.197,0.126,0.18973529411764706,0.433,0.014999999999999986,80.48214285714286,0.136,56,0.0,0.125,0.518,0.179,0.214,0.147,0.029,12,1,0,0,PIT@LAA,LAA,PIT
13,Luis Rengifo,650859,R,650859,FF,185.0,57.0,0.308,0.091,0.3522857142857143,0.803,0.10799999999999998,87.92804878048781,0.392,164,0.043,0.341,0.5,0.226,0.226,0.108,0.108,47,5,0,5,PIT@LAA,LAA,PIT
17,Luis Rengifo,650859,R,650859,SI,58.0,17.0,0.293,0.076,0.3415396825396825,0.792,0.15500000000000003,89.296,0.524,50,0.04,0.4,0.58,0.22,0.2,0.141,0.078,12,3,0,2,PIT@LAA,LAA,PIT
18,Luis Rengifo,650859,R,650859,SL,87.0,16.0,0.184,0.123,0.3196372549019608,0.741,0.253,86.44264705882354,0.469,68,0.059,0.294,0.456,0.176,0.294,0.186,0.108,7,1,3,5,PIT@LAA,LAA,PIT
19,Luis Rengifo,650859,R,650859,ST,22.0,2.0,0.091,0.204,0.10465217391304348,0.216,0.0,80.72142857142856,0.0,14,0.0,0.286,0.857,0.071,0.071,0.375,0.042,2,0,0,0,PIT@LAA,LAA,PIT
21,Mike Trout,545361,R,545361,CH,29.0,4.0,0.138,0.164,0.2712647058823529,0.61,0.20699999999999996,92.98,0.75,15,0.2,0.533,0.467,0.2,0.333,0.412,0.147,2,0,0,2,PIT@LAA,LAA,PIT
23,Mike Trout,545361,R,545361,FC,24.0,9.0,0.375,0.102,0.64528,1.578,0.833,99.86363636363636,0.938,22,0.409,0.818,0.273,0.136,0.591,0.148,0.037,1,2,0,6,PIT@LAA,LAA,PIT
24,Mike Trout,545361,R,545361,FF,145.0,33.0,0.228,0.128,0.3878415300546448,0.903,0.28900000000000003,91.325,0.625,96,0.229,0.521,0.156,0.219,0.448,0.272,0.185,15,5,2,11,PIT@LAA,LAA,PIT
27,Mike Trout,545361,R,545361,SI,62.0,18.0,0.29,0.057,0.37982432432432434,0.873,0.17800000000000005,87.5,0.423,53,0.057,0.396,0.472,0.34,0.151,0.122,0.122,13,2,0,3,PIT@LAA,LAA,PIT
28,Mike Trout,545361,R,545361,SL,61.0,13.0,0.213,0.175,0.3209242424242424,0.765,0.279,93.08684210526316,0.6,38,0.184,0.474,0.211,0.211,0.447,0.348,0.076,6,2,0,5,PIT@LAA,LAA,PIT
29,Mike Trout,545361,R,545361,ST,31.0,7.0,0.226,0.097,0.2663548387096774,0.645,0.19299999999999998,88.42857142857143,0.545,21,0.143,0.429,0.333,0.19,0.333,0.323,0.0,4,1,1,1,PIT@LAA,LAA,PIT
31,Jorge Soler,624585,R,624585,CH,40.0,11.0,0.275,0.162,0.42097872340425535,1.008,0.35,90.33333333333333,0.667,27,0.148,0.481,0.296,0.259,0.296,0.277,0.106,3,5,0,3,PIT@LAA,LAA,PIT
33,Jorge Soler,624585,R,624585,FC,58.0,15.0,0.259,0.164,0.30229230769230764,0.683,0.08599999999999997,92.42340425531914,0.481,47,0.064,0.489,0.362,0.298,0.277,0.169,0.108,12,2,0,1,PIT@LAA,LAA,PIT
34,Jorge Soler,624585,R,624585,FF,207.0,58.0,0.28,0.103,0.4195646551724138,1.006,0.377,95.48141025641026,0.72,156,0.218,0.603,0.269,0.263,0.378,0.235,0.092,22,15,0,21,PIT@LAA,LAA,PIT
38,Jorge Soler,624585,R,624585,SI,172.0,44.0,0.256,0.066,0.3113418367346939,0.695,0.09899999999999998,89.65474452554746,0.468,137,0.051,0.409,0.606,0.212,0.131,0.185,0.1,34,6,1,3,PIT@LAA,LAA,PIT
39,Jorge Soler,624585,R,624585,SL,207.0,41.0,0.198,0.174,0.26623478260869565,0.601,0.126,89.51857142857143,0.474,140,0.114,0.379,0.371,0.25,0.293,0.294,0.095,25,11,0,5,PIT@LAA,LAA,PIT
40,Jorge Soler,624585,R,624585,ST,64.0,14.0,0.219,0.149,0.30287142857142857,0.704,0.20299999999999999,87.25945945945946,0.478,37,0.108,0.351,0.162,0.162,0.459,0.394,0.085,7,4,0,3,PIT@LAA,LAA,PIT
42,Nolan Schanuel,694384,R,694384,CH,80.0,22.0,0.275,0.082,0.29100000000000004,0.644,0.024999999999999967,82.23768115942029,0.192,69,0.014,0.188,0.623,0.261,0.116,0.133,0.089,20,2,0,0,PIT@LAA,LAA,PIT
44,Nolan Schanuel,694384,R,694384,FC,63.0,16.0,0.254,0.069,0.3485,0.807,0.20600000000000002,87.54814814814816,0.323,54,0.037,0.241,0.389,0.296,0.278,0.125,0.083,9,4,0,3,PIT@LAA,LAA,PIT
45,Nolan Schanuel,694384,R,694384,FF,180.0,48.0,0.267,0.04,0.347753488372093,0.779,0.133,87.78999999999999,0.3,160,0.038,0.275,0.4,0.262,0.3,0.105,0.16,34,9,0,5,PIT@LAA,LAA,PIT
49,Nolan Schanuel,694384,R,694384,SI,59.0,16.0,0.271,0.038,0.33317142857142856,0.742,0.08499999999999996,88.71224489795918,0.394,49,0.061,0.429,0.327,0.388,0.286,0.143,0.143,13,2,0,1,PIT@LAA,LAA,PIT
50,Nolan Schanuel,694384,R,694384,SL,73.0,25.0,0.342,0.079,0.39753012048192776,0.919,0.16499999999999998,88.94166666666666,0.424,60,0.05,0.35,0.4,0.35,0.2,0.176,0.094,20,1,1,3,PIT@LAA,LAA,PIT
51,Nolan Schanuel,694384,R,694384,ST,20.0,3.0,0.15,0.119,0.18131818181818182,0.377,0.0,86.46249999999999,0.333,8,0.125,0.375,0.25,0.5,0.25,0.545,0.045,3,0,0,0,PIT@LAA,LAA,PIT
53,Logan O'Hoppe,681351,R,681351,CH,47.0,7.0,0.149,0.283,0.19568750000000001,0.465,0.149,89.40799999999999,0.615,25,0.16,0.4,0.48,0.16,0.36,0.458,0.021,4,1,0,2,PIT@LAA,LAA,PIT
55,Logan O'Hoppe,681351,R,681351,FC,40.0,13.0,0.325,0.188,0.45729545454545445,1.103,0.39999999999999997,91.60666666666665,0.667,30,0.167,0.467,0.333,0.233,0.367,0.244,0.067,7,1,0,5,PIT@LAA,LAA,PIT
56,Logan O'Hoppe,681351,R,681351,FF,149.0,36.0,0.242,0.185,0.30844375,0.724,0.188,93.56111111111112,0.656,90,0.178,0.556,0.222,0.278,0.4,0.369,0.056,24,4,0,8,PIT@LAA,LAA,PIT
60,Logan O'Hoppe,681351,R,681351,SI,112.0,38.0,0.339,0.065,0.39792063492063495,0.927,0.179,90.41747572815534,0.548,103,0.107,0.476,0.515,0.223,0.184,0.079,0.071,30,2,0,6,PIT@LAA,LAA,PIT
61,Logan O'Hoppe,681351,R,681351,SL,114.0,25.0,0.219,0.214,0.27386440677966095,0.648,0.18500000000000003,87.63125,0.565,80,0.088,0.4,0.325,0.275,0.3,0.294,0.034,14,6,0,5,PIT@LAA,LAA,PIT
62,Logan O'Hoppe,681351,R,681351,ST,60.0,15.0,0.25,0.243,0.2915396825396825,0.686,0.15000000000000002,85.6842105263158,0.368,38,0.079,0.289,0.447,0.184,0.316,0.349,0.048,9,4,1,1,PIT@LAA,LAA,PIT
64,Zach Neto,687263,R,687263,CH,43.0,7.0,0.163,0.2,0.17574418604651162,0.419,0.093,90.51739130434783,0.636,23,0.174,0.435,0.478,0.217,0.261,0.465,0.0,3,4,0,0,PIT@LAA,LAA,PIT
66,Zach Neto,687263,R,687263,FC,49.0,16.0,0.327,0.135,0.4304909090909091,1.033,0.306,86.73488372093023,0.68,43,0.116,0.419,0.395,0.186,0.395,0.109,0.109,9,3,0,4,PIT@LAA,LAA,PIT
67,Zach Neto,687263,R,687263,FF,185.0,42.0,0.227,0.107,0.3430694444444444,0.786,0.227,91.99473684210527,0.608,152,0.112,0.507,0.309,0.217,0.421,0.168,0.095,22,9,0,11,PIT@LAA,LAA,PIT
70,Zach Neto,687263,R,687263,SI,129.0,24.0,0.186,0.069,0.2787385620915033,0.599,0.10099999999999998,84.73703703703704,0.529,108,0.056,0.343,0.611,0.176,0.139,0.143,0.084,15,7,0,2,PIT@LAA,LAA,PIT
71,Zach Neto,687263,R,687263,SL,153.0,36.0,0.235,0.186,0.29611875,0.693,0.196,84.50892857142857,0.558,112,0.071,0.348,0.446,0.223,0.241,0.274,0.037,16,15,0,5,PIT@LAA,LAA,PIT
72,Zach Neto,687263,R,687263,ST,54.0,6.0,0.111,0.175,0.13416363636363635,0.312,0.074,83.73055555555555,0.2,36,0.028,0.139,0.417,0.083,0.333,0.327,0.018,4,1,0,1,PIT@LAA,LAA,PIT
74,Kyren Paris,677347,R,677347,CH,7.0,0.0,0.0,0.4,0.0,0.0,0.0,85.85,0.0,4,0.0,0.25,0.75,0.0,0.25,0.429,0.0,0,0,0,0,PIT@LAA,LAA,PIT
76,Kyren Paris,677347,R,677347,FC,10.0,5.0,0.5,0.282,0.42750000000000005,1.0,0.0,80.6375,0.5,8,0.0,0.375,0.25,0.5,0.25,0.2,0.0,5,0,0,0,PIT@LAA,LAA,PIT
77,Kyren Paris,677347,R,677347,FF,28.0,9.0,0.321,0.156,0.5088,1.226,0.39299999999999996,87.44,0.714,15,0.267,0.667,0.533,0.067,0.4,0.317,0.268,4,2,0,3,PIT@LAA,LAA,PIT
80,Kyren Paris,677347,R,677347,SI,14.0,1.0,0.071,0.127,0.06107142857142857,0.138,0.0,82.425,0.5,8,0.125,0.375,0.25,0.5,0.25,0.4,0.0,1,0,0,0,PIT@LAA,LAA,PIT
81,Kyren Paris,677347,R,677347,SL,22.0,3.0,0.136,0.202,0.22352173913043477,0.531,0.22799999999999998,79.40625,0.5,16,0.062,0.312,0.688,0.062,0.188,0.292,0.042,1,0,1,1,PIT@LAA,LAA,PIT
82,Kyren Paris,677347,R,677347,ST,8.0,0.0,0.0,0.16,0.07744444444444444,0.111,0.0,73.24,0.0,5,0.0,0.0,0.8,0.0,0.2,0.333,0.111,0,0,0,0,PIT@LAA,LAA,PIT
84,Jo Adell,666176,R,666176,CH,16.0,3.0,0.188,0.172,0.30616666666666664,0.716,0.25,76.5,0.667,9,0.111,0.222,0.556,0.0,0.333,0.389,0.111,1,1,0,1,PIT@LAA,LAA,PIT
86,Jo Adell,666176,R,666176,FC,22.0,8.0,0.364,0.168,0.4005384615384615,0.917,0.09100000000000003,91.10526315789474,0.6,19,0.053,0.474,0.263,0.263,0.263,0.115,0.154,6,2,0,0,PIT@LAA,LAA,PIT
87,Jo Adell,666176,R,666176,FF,132.0,24.0,0.182,0.157,0.2590743243243243,0.578,0.129,91.7987341772152,0.549,79,0.127,0.494,0.278,0.316,0.329,0.367,0.087,17,2,0,5,PIT@LAA,LAA,PIT
90,Jo Adell,666176,R,666176,SI,77.0,17.0,0.221,0.069,0.3154831460674158,0.712,0.169,82.86428571428571,0.667,70,0.086,0.4,0.629,0.157,0.143,0.078,0.078,12,1,0,4,PIT@LAA,LAA,PIT
91,Jo Adell,666176,R,666176,SL,86.0,18.0,0.209,0.17,0.2844891304347826,0.668,0.19799999999999998,90.53859649122806,0.645,57,0.105,0.456,0.351,0.246,0.298,0.315,0.065,9,5,0,4,PIT@LAA,LAA,PIT
92,Jo Adell,666176,R,666176,ST,27.0,6.0,0.222,0.135,0.29203448275862065,0.683,0.18499999999999997,87.8875,0.333,16,0.125,0.312,0.062,0.188,0.562,0.379,0.069,3,2,0,1,PIT@LAA,LAA,PIT
0,Chandler Simpson,802415,R,802415,CH,3.0,0.0,0.0,0.143,0.0,0.0,0.0,74.33333333333333,0.0,3,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0,0,0,0,TB@ARI,TB,ARI
1,Chandler Simpson,802415,R,802415,CU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,TB@ARI,TB,ARI
4,Chandler Simpson,802415,R,802415,SI,2.0,1.0,0.5,0.0,0.4275,1.0,0.0,69.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1,0,0,0,TB@ARI,TB,ARI
5,Chandler Simpson,802415,R,802415,SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,TB@ARI,TB,ARI
6,Chandler Simpson,802415,R,802415,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,TB@ARI,TB,ARI
7,Yandy Diaz,650490,R,650490,CH,71.0,15.0,0.211,0.088,0.2766578947368421,0.643,0.169,88.82280701754385,0.364,57,0.07,0.404,0.526,0.14,0.246,0.184,0.039,9,3,0,3,TB@ARI,TB,ARI
8,Yandy Diaz,650490,R,650490,CU,55.0,19.0,0.345,0.05,0.37052631578947365,0.877,0.16400000000000003,93.90652173913043,0.588,46,0.043,0.543,0.587,0.174,0.196,0.158,0.018,13,4,1,1,TB@ARI,TB,ARI
9,Yandy Diaz,650490,R,650490,FC,66.0,14.0,0.212,0.079,0.27076923076923076,0.575,0.03,88.70769230769231,0.417,52,0.038,0.385,0.519,0.25,0.212,0.179,0.154,12,2,0,0,TB@ARI,TB,ARI
