,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp,Spot
0,JJ Wetherholt,802139,R,802139,CH,30.0,5.0,0.167,0.103,0.22753125000000002,0.519,0.13299999999999998,83.8153846153846,0.6,26,0.038,0.308,0.615,0.269,0.115,0.125,0.0,3,1,0,1,MIL@STL,STL,MIL,1
2,JJ Wetherholt,802139,R,802139,CU,12.0,5.0,0.417,0.053,0.45260000000000006,1.033,0.08300000000000002,84.58,0.333,10,0.0,0.5,0.7,0.2,0.1,0.133,0.133,4,1,0,0,MIL@STL,STL,MIL,1
3,JJ Wetherholt,802139,R,802139,FC,20.0,3.0,0.15,0.103,0.2738333333333333,0.592,0.15,81.47368421052632,0.2,19,0.053,0.158,0.421,0.105,0.421,0.042,0.083,2,0,0,1,MIL@STL,STL,MIL,1
4,JJ Wetherholt,802139,R,802139,FF,76.0,24.0,0.316,0.112,0.43711235955056177,1.048,0.316,92.7135593220339,0.605,59,0.136,0.525,0.203,0.288,0.441,0.191,0.135,14,3,0,7,MIL@STL,STL,MIL,1
7,JJ Wetherholt,802139,R,802139,SL,23.0,5.0,0.217,0.071,0.23626086956521736,0.565,0.13099999999999998,94.48888888888888,0.8,18,0.0,0.667,0.389,0.278,0.278,0.217,0.0,4,0,0,1,MIL@STL,STL,MIL,1
10,Ivan Herrera,671056,R,671056,CH,41.0,7.0,0.171,0.146,0.24945652173913044,0.554,0.12199999999999997,84.3423076923077,0.333,26,0.077,0.423,0.423,0.154,0.308,0.326,0.065,4,2,0,1,MIL@STL,STL,MIL,2
12,Ivan Herrera,671056,R,671056,CU,56.0,17.0,0.304,0.134,0.3027966101694915,0.685,0.05299999999999999,86.58205128205128,0.471,39,0.051,0.385,0.487,0.231,0.205,0.295,0.016,14,3,0,0,MIL@STL,STL,MIL,2
13,Ivan Herrera,671056,R,671056,FC,49.0,15.0,0.306,0.11,0.32335294117647057,0.762,0.123,92.14418604651162,0.733,43,0.093,0.488,0.558,0.233,0.116,0.118,0.039,12,1,1,1,MIL@STL,STL,MIL,2
14,Ivan Herrera,671056,R,671056,FF,176.0,46.0,0.261,0.073,0.36224074074074075,0.816,0.15899999999999997,90.05151515151515,0.562,132,0.091,0.432,0.402,0.242,0.242,0.207,0.161,30,10,0,6,MIL@STL,STL,MIL,2
18,Ivan Herrera,671056,R,671056,SL,124.0,34.0,0.274,0.156,0.3460071942446043,0.802,0.178,92.98041237113402,0.688,97,0.155,0.536,0.474,0.278,0.216,0.193,0.086,23,5,1,5,MIL@STL,STL,MIL,2
21,Jordan Walker,691023,R,691023,CH,68.0,15.0,0.221,0.257,0.26583333333333337,0.617,0.13199999999999998,90.35333333333334,0.579,45,0.067,0.4,0.444,0.2,0.222,0.319,0.042,10,3,0,2,MIL@STL,STL,MIL,3
23,Jordan Walker,691023,R,691023,CU,49.0,11.0,0.224,0.213,0.27984000000000003,0.66,0.205,90.465,0.471,40,0.075,0.375,0.55,0.25,0.175,0.212,0.019,5,4,0,2,MIL@STL,STL,MIL,3
24,Jordan Walker,691023,R,691023,FC,73.0,17.0,0.233,0.173,0.29088888888888886,0.665,0.12299999999999997,89.77543859649123,0.382,57,0.07,0.386,0.316,0.263,0.333,0.198,0.099,11,4,1,1,MIL@STL,STL,MIL,3
25,Jordan Walker,691023,R,691023,FF,232.0,55.0,0.237,0.141,0.3052362204724409,0.706,0.16800000000000004,92.78344370860927,0.582,151,0.139,0.503,0.391,0.265,0.258,0.324,0.074,35,10,1,9,MIL@STL,STL,MIL,3
29,Jordan Walker,691023,R,691023,SL,189.0,60.0,0.317,0.222,0.3362842639593908,0.786,0.127,91.3796875,0.559,128,0.078,0.484,0.445,0.258,0.203,0.317,0.04,42,15,0,3,MIL@STL,STL,MIL,3
32,Alec Burleson,676475,R,676475,CH,234.0,71.0,0.303,0.094,0.3393089430894309,0.795,0.15900000000000003,87.45355450236967,0.43,211,0.052,0.341,0.559,0.213,0.194,0.1,0.048,48,16,0,7,MIL@STL,STL,MIL,4
34,Alec Burleson,676475,R,676475,CU,121.0,40.0,0.331,0.085,0.4023157894736842,0.953,0.23100000000000004,92.709,0.551,100,0.14,0.57,0.48,0.23,0.26,0.158,0.075,24,10,0,6,MIL@STL,STL,MIL,4
36,Alec Burleson,676475,R,676475,FC,112.0,30.0,0.268,0.071,0.33082258064516135,0.762,0.16099999999999998,89.72574257425742,0.49,101,0.089,0.465,0.426,0.267,0.238,0.103,0.079,19,7,1,3,MIL@STL,STL,MIL,4
37,Alec Burleson,676475,R,676475,FF,417.0,108.0,0.259,0.105,0.33126106194690264,0.775,0.20400000000000001,92.08743016759777,0.566,358,0.115,0.483,0.288,0.249,0.383,0.14,0.074,67,19,0,22,MIL@STL,STL,MIL,4
41,Alec Burleson,676475,R,676475,SL,125.0,31.0,0.248,0.103,0.36013013698630136,0.831,0.23199999999999998,88.67340425531914,0.511,94,0.074,0.457,0.426,0.191,0.309,0.216,0.101,16,8,0,7,MIL@STL,STL,MIL,4
44,Masyn Winn,691026,R,691026,CH,59.0,16.0,0.271,0.152,0.30443548387096775,0.704,0.13599999999999995,83.88695652173914,0.429,46,0.065,0.304,0.435,0.239,0.217,0.234,0.047,12,2,0,2,MIL@STL,STL,MIL,5
45,Masyn Winn,691026,R,691026,CU,58.0,12.0,0.207,0.1,0.25417741935483873,0.582,0.12100000000000002,80.71860465116279,0.318,43,0.023,0.233,0.349,0.302,0.209,0.254,0.063,9,1,0,2,MIL@STL,STL,MIL,5
47,Masyn Winn,691026,R,691026,FC,89.0,19.0,0.213,0.091,0.22261538461538458,0.523,0.07899999999999999,85.90833333333333,0.258,72,0.0,0.208,0.444,0.306,0.125,0.187,0.022,14,3,2,0,MIL@STL,STL,MIL,5
48,Masyn Winn,691026,R,691026,FF,304.0,73.0,0.24,0.09,0.2978062678062678,0.657,0.07900000000000001,88.2552,0.325,250,0.04,0.384,0.432,0.252,0.24,0.163,0.124,60,7,1,5,MIL@STL,STL,MIL,5
54,Masyn Winn,691026,R,691026,SL,193.0,43.0,0.223,0.103,0.2406305418719212,0.55,0.06699999999999998,83.20955414012738,0.288,157,0.019,0.229,0.478,0.204,0.217,0.181,0.034,33,8,1,1,MIL@STL,STL,MIL,5
57,Jose Fermin,665877,R,665877,CH,7.0,0.0,0.0,0.158,0.0,0.0,0.0,80.38,0.0,5,0.0,0.0,0.4,0.0,0.2,0.286,0.0,0,0,0,0,MIL@STL,STL,MIL,6
58,Jose Fermin,665877,R,665877,CU,8.0,0.0,0.0,0.056,0.0,0.0,0.0,72.28333333333333,0.0,6,0.0,0.0,0.667,0.0,0.333,0.25,0.0,0,0,0,0,MIL@STL,STL,MIL,6
59,Jose Fermin,665877,R,665877,FC,15.0,3.0,0.2,0.074,0.22843750000000002,0.517,0.067,83.18571428571428,0.75,14,0.0,0.429,0.643,0.143,0.143,0.062,0.062,2,1,0,0,MIL@STL,STL,MIL,6
60,Jose Fermin,665877,R,665877,FF,57.0,14.0,0.246,0.058,0.34576056338028166,0.741,0.122,82.56470588235294,0.423,51,0.02,0.314,0.373,0.216,0.294,0.12,0.147,9,4,0,1,MIL@STL,STL,MIL,6
64,Jose Fermin,665877,R,665877,SL,35.0,9.0,0.257,0.056,0.3295128205128205,0.762,0.172,83.175,0.417,28,0.036,0.286,0.5,0.357,0.071,0.179,0.077,5,3,0,1,MIL@STL,STL,MIL,6
66,Lars Nootbaar,663457,R,663457,CH,170.0,39.0,0.229,0.107,0.2979842105263158,0.682,0.142,84.08057553956836,0.458,139,0.072,0.266,0.511,0.23,0.194,0.163,0.105,25,9,0,5,MIL@STL,STL,MIL,7
68,Lars Nootbaar,663457,R,663457,CU,66.0,18.0,0.273,0.037,0.37293243243243246,0.877,0.257,91.58461538461538,0.704,52,0.135,0.558,0.423,0.25,0.269,0.2,0.093,9,5,0,4,MIL@STL,STL,MIL,7
70,Lars Nootbaar,663457,R,663457,FC,73.0,26.0,0.356,0.063,0.4726746987951807,1.146,0.356,93.0875,0.5,64,0.172,0.484,0.375,0.266,0.328,0.108,0.12,13,6,1,6,MIL@STL,STL,MIL,7
71,Lars Nootbaar,663457,R,663457,FF,339.0,101.0,0.298,0.05,0.38258955223880603,0.882,0.18,94.82926829268293,0.644,287,0.125,0.589,0.362,0.279,0.289,0.138,0.155,67,19,3,12,MIL@STL,STL,MIL,7
76,Lars Nootbaar,663457,R,663457,SL,105.0,20.0,0.19,0.118,0.28097457627118644,0.637,0.172,90.82941176470588,0.559,68,0.088,0.471,0.412,0.221,0.279,0.325,0.108,10,6,0,4,MIL@STL,STL,MIL,7
79,Pedro Pages,686780,R,686780,CH,21.0,6.0,0.286,0.197,0.28272727272727277,0.651,0.04700000000000004,79.5,0.1,13,0.0,0.154,0.231,0.385,0.385,0.364,0.045,5,1,0,0,MIL@STL,STL,MIL,8
80,Pedro Pages,686780,R,686780,CU,24.0,4.0,0.167,0.208,0.334,0.792,0.375,78.03636363636363,0.429,11,0.182,0.273,0.273,0.182,0.455,0.5,0.071,1,0,0,3,MIL@STL,STL,MIL,8
82,Pedro Pages,686780,R,686780,FC,39.0,9.0,0.231,0.128,0.23199999999999996,0.518,0.024999999999999994,85.63055555555555,0.368,36,0.028,0.25,0.333,0.222,0.306,0.095,0.024,8,1,0,0,MIL@STL,STL,MIL,8
83,Pedro Pages,686780,R,686780,FF,111.0,25.0,0.225,0.109,0.28580991735537187,0.649,0.144,87.90126582278481,0.519,79,0.076,0.405,0.291,0.329,0.329,0.288,0.072,17,4,0,4,MIL@STL,STL,MIL,8
86,Pedro Pages,686780,R,686780,SL,88.0,23.0,0.261,0.185,0.32457777777777774,0.772,0.239,85.39538461538461,0.438,65,0.092,0.323,0.415,0.231,0.262,0.272,0.022,12,6,0,5,MIL@STL,STL,MIL,8
89,Nathan Church,701675,R,701675,CH,52.0,10.0,0.192,0.167,0.19426923076923075,0.461,0.07700000000000001,82.1625,0.357,40,0.05,0.25,0.55,0.175,0.175,0.231,0.0,8,1,0,1,MIL@STL,STL,MIL,9
90,Nathan Church,701675,R,701675,CU,18.0,3.0,0.167,0.123,0.16433333333333333,0.389,0.05499999999999999,88.37692307692308,0.2,13,0.0,0.385,0.538,0.231,0.154,0.278,0.0,2,1,0,0,MIL@STL,STL,MIL,9
91,Nathan Church,701675,R,701675,FC,12.0,6.0,0.5,0.102,0.6617857142857143,1.654,0.583,90.14999999999999,0.6,12,0.083,0.5,0.5,0.25,0.167,0.0,0.071,3,1,0,2,MIL@STL,STL,MIL,9
92,Nathan Church,701675,R,701675,FF,63.0,15.0,0.238,0.141,0.29261643835616435,0.64,0.064,90.7840909090909,0.435,44,0.068,0.432,0.455,0.227,0.295,0.27,0.108,12,2,1,0,MIL@STL,STL,MIL,9
95,Nathan Church,701675,R,701675,SL,31.0,7.0,0.226,0.127,0.35369696969696973,0.846,0.355,83.90384615384616,0.455,26,0.115,0.346,0.423,0.154,0.269,0.176,0.029,2,2,0,3,MIL@STL,STL,MIL,9
98,JJ Wetherholt,802139,L,802139,CH,5.0,0.0,0.0,0.105,0.0,0.0,0.0,62.76666666666667,0.0,3,0.0,0.0,0.333,0.333,0.0,0.4,0.0,0,0,0,0,MIL@STL,STL,MIL,1
99,JJ Wetherholt,802139,L,802139,CU,5.0,1.0,0.2,0.0,0.17099999999999999,0.367,0.0,87.89999999999999,0.333,6,0.0,0.333,0.5,0.167,0.333,0.0,0.0,1,0,0,0,MIL@STL,STL,MIL,1
100,JJ Wetherholt,802139,L,802139,FC,1.0,0.0,0.0,0.087,0.4646666666666666,0.667,0.0,103.3,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.667,0,0,0,0,MIL@STL,STL,MIL,1
101,JJ Wetherholt,802139,L,802139,FF,28.0,7.0,0.25,0.103,0.407375,0.987,0.393,96.7590909090909,0.75,22,0.273,0.682,0.182,0.227,0.5,0.188,0.125,2,2,0,3,MIL@STL,STL,MIL,1
104,JJ Wetherholt,802139,L,802139,SL,21.0,9.0,0.429,0.071,0.39931818181818185,0.931,0.046999999999999986,87.02777777777777,0.385,18,0.056,0.278,0.167,0.444,0.278,0.136,0.045,8,1,0,0,MIL@STL,STL,MIL,1
107,Ivan Herrera,671056,L,671056,CH,38.0,12.0,0.316,0.122,0.3476190476190476,0.785,0.10499999999999998,91.63125,0.55,32,0.094,0.5,0.375,0.438,0.188,0.159,0.091,10,1,0,1,MIL@STL,STL,MIL,2
108,Ivan Herrera,671056,L,671056,CU,30.0,7.0,0.233,0.109,0.3585555555555555,0.818,0.234,91.47619047619048,0.5,21,0.095,0.571,0.619,0.048,0.333,0.27,0.135,4,1,0,2,MIL@STL,STL,MIL,2
109,Ivan Herrera,671056,L,671056,FC,20.0,5.0,0.25,0.039,0.42003999999999997,1.0,0.35,90.91764705882352,0.667,17,0.118,0.529,0.706,0.059,0.118,0.12,0.16,2,1,0,2,MIL@STL,STL,MIL,2
110,Ivan Herrera,671056,L,671056,FF,98.0,28.0,0.286,0.069,0.355008547008547,0.8,0.11200000000000004,89.57976190476191,0.512,84,0.107,0.452,0.393,0.286,0.202,0.12,0.137,23,2,0,3,MIL@STL,STL,MIL,2
113,Ivan Herrera,671056,L,671056,SL,23.0,8.0,0.348,0.118,0.49731249999999994,1.183,0.30400000000000005,92.43333333333334,0.9,18,0.167,0.611,0.333,0.278,0.278,0.156,0.188,5,1,0,2,MIL@STL,STL,MIL,2
116,Jordan Walker,691023,L,691023,CH,59.0,16.0,0.271,0.223,0.2984193548387097,0.692,0.119,90.86153846153846,0.435,39,0.077,0.385,0.385,0.359,0.231,0.333,0.048,11,4,0,1,MIL@STL,STL,MIL,3
117,Jordan Walker,691023,L,691023,CU,50.0,9.0,0.18,0.233,0.2289433962264151,0.526,0.12,92.07142857142857,0.529,28,0.179,0.536,0.393,0.214,0.393,0.415,0.038,7,0,0,2,MIL@STL,STL,MIL,3
118,Jordan Walker,691023,L,691023,FC,28.0,10.0,0.357,0.078,0.41603124999999996,0.974,0.17900000000000005,84.988,0.333,25,0.08,0.28,0.4,0.2,0.28,0.094,0.094,7,2,0,1,MIL@STL,STL,MIL,3
119,Jordan Walker,691023,L,691023,FF,90.0,26.0,0.289,0.093,0.4297623762376237,1.044,0.38900000000000007,93.86944444444445,0.667,72,0.194,0.569,0.375,0.222,0.319,0.178,0.109,10,6,1,9,MIL@STL,STL,MIL,3
122,Jordan Walker,691023,L,691023,SL,34.0,6.0,0.176,0.18,0.22166666666666665,0.458,0.0,91.676,0.6,25,0.04,0.44,0.48,0.24,0.16,0.231,0.103,6,0,0,0,MIL@STL,STL,MIL,3
125,Alec Burleson,676475,L,676475,CH,10.0,1.0,0.1,0.095,0.1410909090909091,0.282,0.0,87.675,0.6,8,0.25,0.375,0.25,0.125,0.5,0.182,0.091,1,0,0,0,MIL@STL,STL,MIL,4
126,Alec Burleson,676475,L,676475,CU,24.0,2.0,0.083,0.113,0.11954166666666666,0.291,0.12499999999999999,85.575,0.4,20,0.05,0.3,0.45,0.3,0.2,0.167,0.0,1,0,0,1,MIL@STL,STL,MIL,4
127,Alec Burleson,676475,L,676475,FC,20.0,5.0,0.25,0.145,0.27554545454545454,0.604,0.04999999999999999,89.41,0.625,20,0.0,0.45,0.55,0.2,0.2,0.043,0.087,4,1,0,0,MIL@STL,STL,MIL,4
128,Alec Burleson,676475,L,676475,FF,107.0,26.0,0.243,0.135,0.26847368421052625,0.614,0.08400000000000002,89.87882352941176,0.5,85,0.047,0.341,0.376,0.306,0.212,0.191,0.061,21,3,0,2,MIL@STL,STL,MIL,4
131,Alec Burleson,676475,L,676475,SL,81.0,18.0,0.222,0.097,0.24362195121951216,0.57,0.12399999999999997,87.34657534246575,0.545,73,0.041,0.384,0.507,0.274,0.178,0.129,0.012,12,4,0,2,MIL@STL,STL,MIL,4
134,Masyn Winn,691026,L,691026,CH,61.0,18.0,0.295,0.096,0.29770312499999996,0.689,0.066,85.32549019607843,0.304,51,0.02,0.255,0.51,0.314,0.137,0.156,0.047,14,4,0,0,MIL@STL,STL,MIL,5
136,Masyn Winn,691026,L,691026,CU,55.0,10.0,0.182,0.11,0.23281355932203388,0.528,0.10899999999999999,87.63055555555555,0.412,36,0.083,0.361,0.444,0.25,0.222,0.322,0.034,6,3,0,1,MIL@STL,STL,MIL,5
137,Masyn Winn,691026,L,691026,FC,18.0,8.0,0.444,0.095,0.5865499999999999,1.399,0.49999999999999994,97.04117647058824,0.636,17,0.0,0.706,0.353,0.294,0.353,0.136,0.091,3,3,0,2,MIL@STL,STL,MIL,5
138,Masyn Winn,691026,L,691026,FF,152.0,36.0,0.237,0.072,0.31831578947368416,0.732,0.177,87.94375,0.455,128,0.07,0.414,0.227,0.258,0.344,0.15,0.104,21,8,2,5,MIL@STL,STL,MIL,5
141,Masyn Winn,691026,L,691026,SL,57.0,15.0,0.263,0.085,0.3136065573770492,0.732,0.15799999999999997,87.09565217391305,0.214,46,0.022,0.304,0.326,0.239,0.37,0.18,0.066,8,6,0,1,MIL@STL,STL,MIL,5
144,Jose Fermin,665877,L,665877,CH,25.0,6.0,0.24,0.059,0.2241153846153846,0.509,0.0,84.80833333333334,0.583,24,0.0,0.333,0.417,0.458,0.042,0.038,0.038,6,0,0,0,MIL@STL,STL,MIL,6
145,Jose Fermin,665877,L,665877,CU,13.0,3.0,0.231,0.038,0.22753846153846155,0.539,0.07699999999999999,85.64,0.333,10,0.0,0.3,0.3,0.5,0.1,0.231,0.0,2,1,0,0,MIL@STL,STL,MIL,6
146,Jose Fermin,665877,L,665877,FC,7.0,2.0,0.286,0.048,0.300875,0.661,0.0,85.1,0.0,5,0.0,0.0,0.2,0.4,0.4,0.25,0.125,2,0,0,0,MIL@STL,STL,MIL,6
147,Jose Fermin,665877,L,665877,FF,48.0,9.0,0.188,0.039,0.25596296296296295,0.57,0.10399999999999998,83.97317073170731,0.222,41,0.0,0.195,0.366,0.146,0.293,0.13,0.111,6,2,0,1,MIL@STL,STL,MIL,6
150,Jose Fermin,665877,L,665877,SL,7.0,1.0,0.143,0.034,0.24988888888888885,0.476,0.0,87.08333333333333,0.0,6,0.0,0.333,0.5,0.0,0.333,0.111,0.222,1,0,0,0,MIL@STL,STL,MIL,6
153,Lars Nootbaar,663457,L,663457,CH,9.0,2.0,0.222,0.068,0.3875454545454545,0.92,0.3340000000000001,87.825,0.5,4,0.25,0.5,0.5,0.0,0.5,0.455,0.182,1,0,0,1,MIL@STL,STL,MIL,7
154,Lars Nootbaar,663457,L,663457,CU,18.0,5.0,0.278,0.061,0.2811666666666667,0.667,0.11099999999999999,81.46666666666667,0.0,12,0.0,0.333,0.583,0.083,0.083,0.333,0.0,3,2,0,0,MIL@STL,STL,MIL,7
155,Lars Nootbaar,663457,L,663457,FC,26.0,7.0,0.269,0.07,0.2775714285714286,0.618,0.03899999999999998,89.8625,0.556,24,0.042,0.375,0.5,0.167,0.208,0.103,0.069,6,1,0,0,MIL@STL,STL,MIL,7
156,Lars Nootbaar,663457,L,663457,FF,87.0,20.0,0.23,0.063,0.32023529411764706,0.716,0.149,92.81111111111112,0.667,63,0.095,0.54,0.302,0.317,0.254,0.25,0.125,13,4,0,3,MIL@STL,STL,MIL,7
159,Lars Nootbaar,663457,L,663457,SL,88.0,13.0,0.148,0.11,0.21554081632653058,0.474,0.091,85.39056603773585,0.571,53,0.075,0.377,0.528,0.226,0.17,0.357,0.102,10,0,1,2,MIL@STL,STL,MIL,7
162,Pedro Pages,686780,L,686780,CH,51.0,15.0,0.294,0.258,0.26688235294117646,0.627,0.039000000000000035,88.13666666666667,0.438,30,0.0,0.367,0.4,0.4,0.133,0.412,0.0,13,2,0,0,MIL@STL,STL,MIL,8
163,Pedro Pages,686780,L,686780,CU,27.0,5.0,0.185,0.153,0.2610714285714285,0.607,0.22199999999999998,90.65294117647058,0.6,17,0.118,0.412,0.353,0.176,0.412,0.4,0.033,1,3,0,1,MIL@STL,STL,MIL,8
164,Pedro Pages,686780,L,686780,FC,12.0,4.0,0.333,0.049,0.4143333333333333,1.0,0.334,94.75,0.625,12,0.083,0.583,0.25,0.25,0.417,0.0,0.0,2,1,0,1,MIL@STL,STL,MIL,8
165,Pedro Pages,686780,L,686780,FF,62.0,12.0,0.194,0.094,0.23142424242424245,0.529,0.09599999999999997,89.97659574468085,0.654,47,0.043,0.574,0.362,0.298,0.255,0.239,0.06,8,2,2,0,MIL@STL,STL,MIL,8
168,Pedro Pages,686780,L,686780,SL,29.0,6.0,0.207,0.168,0.19423333333333334,0.44,0.0,90.80454545454546,0.7,22,0.045,0.5,0.409,0.227,0.227,0.233,0.033,6,0,0,0,MIL@STL,STL,MIL,8
171,Nathan Church,701675,L,701675,CH,1.0,1.0,1.0,0.222,2.014,5.0,3.0,106.5,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,MIL@STL,STL,MIL,9
172,Nathan Church,701675,L,701675,CU,4.0,3.0,0.75,0.111,0.9309999999999999,2.1,0.75,77.275,0.333,4,0.0,0.25,0.25,0.25,0.5,0.2,0.0,2,0,0,1,MIL@STL,STL,MIL,9
173,Nathan Church,701675,L,701675,FC,1.0,1.0,1.0,0.286,1.248,3.0,1.0,104.9,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,MIL@STL,STL,MIL,9
174,Nathan Church,701675,L,701675,FF,11.0,3.0,0.273,0.113,0.23318181818181818,0.523,0.0,80.1625,0.333,8,0.0,0.375,0.625,0.125,0.25,0.333,0.0,3,0,0,0,MIL@STL,STL,MIL,9
177,Nathan Church,701675,L,701675,SL,13.0,2.0,0.154,0.059,0.17192857142857143,0.368,0.0,83.6,0.4,12,0.167,0.25,0.333,0.25,0.167,0.071,0.071,2,0,0,0,MIL@STL,STL,MIL,9
0,Pete Crow-Armstrong,691718,R,691718,CH,167.0,48.0,0.287,0.175,0.3142183908045977,0.736,0.138,88.39861111111111,0.562,144,0.056,0.424,0.431,0.257,0.25,0.147,0.04,31,12,4,1,CHC@BAL,CHC,BAL,1
2,Pete Crow-Armstrong,691718,R,691718,CU,110.0,33.0,0.3,0.15,0.37775221238938045,0.899,0.291,87.55679012345679,0.543,81,0.123,0.407,0.37,0.284,0.284,0.282,0.017,18,6,1,8,CHC@BAL,CHC,BAL,1
4,Pete Crow-Armstrong,691718,R,691718,FC,70.0,22.0,0.314,0.171,0.43058227848101266,1.03,0.329,85.55535714285715,0.577,56,0.107,0.339,0.411,0.107,0.357,0.188,0.088,10,6,1,5,CHC@BAL,CHC,BAL,1
5,Pete Crow-Armstrong,691718,R,691718,FF,306.0,64.0,0.209,0.163,0.30938662790697674,0.713,0.213,88.70046948356809,0.619,213,0.155,0.512,0.23,0.207,0.423,0.285,0.094,35,10,2,17,CHC@BAL,CHC,BAL,1
8,Pete Crow-Armstrong,691718,R,691718,SI,77.0,21.0,0.273,0.125,0.3633176470588235,0.856,0.246,88.23636363636365,0.641,66,0.121,0.47,0.379,0.242,0.348,0.14,0.081,11,5,1,4,CHC@BAL,CHC,BAL,1
9,Pete Crow-Armstrong,691718,R,691718,SL,97.0,27.0,0.278,0.21,0.3893853211009174,0.909,0.2889999999999999,87.77432432432433,0.634,74,0.135,0.473,0.351,0.189,0.365,0.246,0.061,15,4,0,8,CHC@BAL,CHC,BAL,1
12,Alex Bregman,608324,R,608324,CH,72.0,22.0,0.306,0.087,0.38380000000000003,0.903,0.22200000000000003,89.00535714285715,0.44,56,0.036,0.411,0.518,0.232,0.214,0.2,0.062,12,7,0,3,CHC@BAL,CHC,BAL,2
14,Alex Bregman,608324,R,608324,CU,69.0,18.0,0.261,0.062,0.30755714285714286,0.735,0.203,84.46666666666667,0.44,51,0.059,0.294,0.451,0.255,0.235,0.257,0.014,10,5,0,3,CHC@BAL,CHC,BAL,2
16,Alex Bregman,608324,R,608324,FC,90.0,31.0,0.344,0.05,0.4297843137254902,1.022,0.256,87.52738095238095,0.532,84,0.012,0.393,0.333,0.357,0.202,0.059,0.108,18,8,0,5,CHC@BAL,CHC,BAL,2
17,Alex Bregman,608324,R,608324,FF,442.0,128.0,0.29,0.052,0.37206201550387596,0.859,0.181,91.40544041450777,0.525,386,0.075,0.446,0.275,0.264,0.347,0.115,0.137,82,27,4,15,CHC@BAL,CHC,BAL,2
20,Alex Bregman,608324,R,608324,SI,389.0,108.0,0.278,0.036,0.32857692307692304,0.743,0.10199999999999998,88.9487252124646,0.446,353,0.045,0.394,0.493,0.204,0.215,0.086,0.09,84,16,0,8,CHC@BAL,CHC,BAL,2
21,Alex Bregman,608324,R,608324,SL,238.0,47.0,0.197,0.096,0.2767671755725191,0.635,0.16899999999999998,85.65801104972375,0.51,181,0.072,0.337,0.337,0.238,0.315,0.223,0.083,25,13,0,9,CHC@BAL,CHC,BAL,2
24,Michael Busch,683737,R,683737,CH,154.0,38.0,0.247,0.182,0.344764367816092,0.807,0.22699999999999998,88.41132075471698,0.667,106,0.151,0.396,0.547,0.208,0.217,0.276,0.109,20,9,1,8,CHC@BAL,CHC,BAL,3
26,Michael Busch,683737,R,683737,CU,111.0,30.0,0.27,0.135,0.3443688524590164,0.799,0.198,87.89861111111111,0.556,72,0.111,0.333,0.486,0.278,0.222,0.331,0.048,18,7,0,5,CHC@BAL,CHC,BAL,3
28,Michael Busch,683737,R,683737,FC,96.0,32.0,0.333,0.084,0.43296428571428575,1.025,0.27099999999999996,90.16024096385543,0.566,83,0.096,0.47,0.301,0.253,0.386,0.132,0.123,19,5,3,5,CHC@BAL,CHC,BAL,3
29,Michael Busch,683737,R,683737,FF,412.0,101.0,0.245,0.092,0.35502136752136754,0.834,0.255,93.29708737864077,0.578,309,0.172,0.502,0.304,0.188,0.456,0.223,0.109,50,23,2,26,CHC@BAL,CHC,BAL,3
34,Michael Busch,683737,R,683737,SI,102.0,25.0,0.245,0.073,0.3782945736434109,0.864,0.21600000000000003,91.74125000000001,0.532,80,0.15,0.488,0.412,0.275,0.312,0.171,0.194,13,7,0,5,CHC@BAL,CHC,BAL,3
35,Michael Busch,683737,R,683737,SL,139.0,32.0,0.23,0.183,0.32984375000000005,0.763,0.20199999999999999,86.0111111111111,0.477,81,0.136,0.333,0.383,0.21,0.333,0.362,0.131,21,2,1,8,CHC@BAL,CHC,BAL,3
38,Seiya Suzuki,673548,R,673548,CH,74.0,17.0,0.23,0.158,0.26764556962025315,0.613,0.10800000000000001,87.84782608695652,0.409,46,0.065,0.37,0.435,0.348,0.13,0.362,0.062,11,5,0,1,CHC@BAL,CHC,BAL,4
40,Seiya Suzuki,673548,R,673548,CU,108.0,29.0,0.269,0.1,0.2984736842105263,0.696,0.12,84.73783783783784,0.324,74,0.068,0.216,0.459,0.284,0.216,0.298,0.053,22,4,0,3,CHC@BAL,CHC,BAL,4
42,Seiya Suzuki,673548,R,673548,FC,101.0,28.0,0.277,0.097,0.36908108108108106,0.874,0.258,90.15769230769232,0.512,78,0.167,0.397,0.372,0.179,0.346,0.214,0.089,18,2,0,8,CHC@BAL,CHC,BAL,4
43,Seiya Suzuki,673548,R,673548,FF,356.0,89.0,0.25,0.108,0.35910948905109485,0.84,0.242,95.91729957805907,0.671,237,0.207,0.641,0.249,0.241,0.464,0.295,0.13,47,18,4,20,CHC@BAL,CHC,BAL,4
47,Seiya Suzuki,673548,R,673548,SI,313.0,101.0,0.323,0.042,0.3961396648044692,0.928,0.198,91.46575875486381,0.607,257,0.113,0.525,0.494,0.272,0.183,0.159,0.106,70,14,3,14,CHC@BAL,CHC,BAL,4
