,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,LD%,FB%,K%,BB%,Game,Team,Opp
72,Edouard Julien,666397,R,666397,SI,70.0,18.0,0.257,0.3092987012987013,0.711,0.129,91.82916666666667,0.621,48,0.146,0.479,0.354,0.25,0.286,0.078,MIN@KC,MIN,KC
73,Edouard Julien,666397,R,666397,SL,69.0,14.0,0.203,0.2843924050632911,0.633,0.13,88.07027027027027,0.647,37,0.135,0.459,0.189,0.27,0.412,0.112,MIN@KC,MIN,KC
76,Jose Miranda,669304,R,669304,CH,21.0,4.0,0.19,0.21804761904761905,0.523,0.14300000000000002,84.20666666666666,0.429,15,0.067,0.267,0.267,0.2,0.286,0.0,MIN@KC,MIN,KC
77,Jose Miranda,669304,R,669304,CU,24.0,6.0,0.25,0.28064,0.655,0.125,86.4375,0.5,16,0.062,0.375,0.188,0.188,0.32,0.0,MIN@KC,MIN,KC
79,Jose Miranda,669304,R,669304,FC,33.0,6.0,0.182,0.22241666666666665,0.492,0.06,87.08387096774193,0.375,31,0.097,0.258,0.323,0.194,0.056,0.083,MIN@KC,MIN,KC
80,Jose Miranda,669304,R,669304,FF,89.0,26.0,0.292,0.40031067961165046,0.95,0.2700000000000001,92.32352941176471,0.581,68,0.059,0.471,0.309,0.324,0.204,0.107,MIN@KC,MIN,KC
83,Jose Miranda,669304,R,669304,SI,83.0,26.0,0.313,0.3286705882352941,0.775,0.133,88.35675675675675,0.4,74,0.041,0.419,0.243,0.162,0.106,0.012,MIN@KC,MIN,KC
84,Jose Miranda,669304,R,669304,SL,105.0,34.0,0.324,0.3453853211009174,0.812,0.14300000000000002,88.05483870967743,0.5,93,0.043,0.409,0.301,0.151,0.118,0.036,MIN@KC,MIN,KC
87,Harrison Bader,664056,R,664056,CH,26.0,2.0,0.077,0.13318518518518518,0.303,0.115,85.35454545454546,0.25,11,0.091,0.273,0.182,0.545,0.556,0.0,MIN@KC,MIN,KC
88,Harrison Bader,664056,R,664056,CU,41.0,13.0,0.317,0.337219512195122,0.805,0.17099999999999999,86.40967741935484,0.417,31,0.065,0.323,0.29,0.097,0.244,0.0,MIN@KC,MIN,KC
90,Harrison Bader,664056,R,664056,FC,45.0,12.0,0.267,0.2972765957446809,0.698,0.133,88.57073170731708,0.5,41,0.073,0.366,0.317,0.122,0.085,0.043,MIN@KC,MIN,KC
91,Harrison Bader,664056,R,664056,FF,121.0,33.0,0.273,0.3453795620437956,0.791,0.16499999999999998,89.36595744680851,0.466,94,0.043,0.426,0.277,0.34,0.209,0.079,MIN@KC,MIN,KC
93,Harrison Bader,664056,R,664056,SI,93.0,24.0,0.258,0.27011,0.605,0.04299999999999998,81.22272727272728,0.435,88,0.045,0.216,0.125,0.136,0.069,0.049,MIN@KC,MIN,KC
94,Harrison Bader,664056,R,664056,SL,143.0,29.0,0.203,0.21015172413793098,0.492,0.07700000000000001,83.93207547169811,0.449,106,0.038,0.349,0.16,0.302,0.26,0.014,MIN@KC,MIN,KC
0,Jonathan India,663697,R,663697,CH,34.0,8.0,0.235,0.35297674418604646,0.768,0.14700000000000002,75.42105263157895,0.286,19,0.053,0.263,0.263,0.105,0.364,0.114,MIN@KC,KC,MIN
1,Jonathan India,663697,R,663697,CU,42.0,9.0,0.214,0.2712608695652174,0.61,0.11900000000000002,84.92333333333333,0.333,30,0.067,0.267,0.2,0.4,0.277,0.064,MIN@KC,KC,MIN
2,Jonathan India,663697,R,663697,FC,70.0,23.0,0.329,0.39104938271604933,0.901,0.15699999999999997,87.9828125,0.375,64,0.078,0.344,0.297,0.328,0.085,0.11,MIN@KC,KC,MIN
3,Jonathan India,663697,R,663697,FF,215.0,53.0,0.247,0.33725868725868724,0.751,0.134,91.37309941520468,0.573,171,0.123,0.468,0.257,0.345,0.179,0.156,MIN@KC,KC,MIN
8,Jonathan India,663697,R,663697,SI,210.0,56.0,0.267,0.3538795180722891,0.801,0.15699999999999997,88.29385474860335,0.429,179,0.061,0.374,0.223,0.168,0.135,0.111,MIN@KC,KC,MIN
9,Jonathan India,663697,R,663697,SL,127.0,25.0,0.197,0.25721641791044775,0.597,0.16499999999999998,84.79368421052631,0.429,95,0.042,0.263,0.2,0.242,0.25,0.037,MIN@KC,KC,MIN
10,Jonathan India,663697,R,663697,ST,51.0,8.0,0.157,0.2766315789473684,0.638,0.23500000000000001,87.39999999999999,0.435,39,0.077,0.333,0.154,0.436,0.211,0.053,MIN@KC,KC,MIN
12,Bobby Witt Jr.,677951,R,677951,CH,64.0,22.0,0.344,0.4460724637681159,1.079,0.344,91.34905660377359,0.571,53,0.075,0.434,0.264,0.264,0.159,0.058,MIN@KC,KC,MIN
13,Bobby Witt Jr.,677951,R,677951,CU,77.0,23.0,0.299,0.37449367088607594,0.896,0.285,91.65384615384616,0.535,65,0.154,0.462,0.308,0.354,0.162,0.025,MIN@KC,KC,MIN
14,Bobby Witt Jr.,677951,R,677951,FC,89.0,31.0,0.348,0.40775,0.969,0.22499999999999998,87.92631578947368,0.667,76,0.132,0.461,0.211,0.263,0.135,0.073,MIN@KC,KC,MIN
15,Bobby Witt Jr.,677951,R,677951,FF,277.0,74.0,0.267,0.38748208469055373,0.929,0.32899999999999996,94.03666666666668,0.696,210,0.214,0.59,0.238,0.419,0.231,0.083,MIN@KC,KC,MIN
19,Bobby Witt Jr.,677951,R,677951,SI,196.0,69.0,0.352,0.38777209302325577,0.906,0.14800000000000002,93.7357142857143,0.659,182,0.099,0.593,0.286,0.198,0.074,0.078,MIN@KC,KC,MIN
20,Bobby Witt Jr.,677951,R,677951,SL,222.0,59.0,0.266,0.30759745762711865,0.715,0.14399999999999996,87.71693989071039,0.404,183,0.087,0.333,0.273,0.24,0.176,0.059,MIN@KC,KC,MIN
21,Bobby Witt Jr.,677951,R,677951,ST,70.0,20.0,0.286,0.39854666666666666,0.954,0.343,86.02631578947368,0.406,57,0.14,0.316,0.263,0.298,0.195,0.039,MIN@KC,KC,MIN
23,Vinnie Pasquantino,686469,R,686469,CH,118.0,27.0,0.229,0.2921746031746032,0.68,0.17799999999999996,86.09811320754717,0.455,106,0.066,0.33,0.16,0.255,0.109,0.062,MIN@KC,KC,MIN
24,Vinnie Pasquantino,686469,R,686469,CU,50.0,12.0,0.24,0.32796363636363635,0.769,0.22000000000000003,90.30975609756098,0.75,41,0.098,0.512,0.195,0.195,0.164,0.073,MIN@KC,KC,MIN
25,Vinnie Pasquantino,686469,R,686469,FC,52.0,12.0,0.231,0.2805740740740741,0.663,0.17300000000000001,86.86734693877551,0.379,49,0.061,0.306,0.306,0.286,0.056,0.037,MIN@KC,KC,MIN
26,Vinnie Pasquantino,686469,R,686469,FF,197.0,54.0,0.274,0.31834272300469485,0.732,0.13699999999999996,90.654802259887,0.416,177,0.056,0.429,0.311,0.328,0.115,0.073,MIN@KC,KC,MIN
29,Vinnie Pasquantino,686469,R,686469,SI,63.0,20.0,0.317,0.3870405405405405,0.889,0.15899999999999997,97.23275862068965,0.677,58,0.155,0.655,0.276,0.259,0.067,0.133,MIN@KC,KC,MIN
30,Vinnie Pasquantino,686469,R,686469,SL,47.0,15.0,0.319,0.4648333333333333,1.123,0.40399999999999997,93.67692307692307,0.696,39,0.154,0.667,0.231,0.359,0.164,0.109,MIN@KC,KC,MIN
31,Vinnie Pasquantino,686469,R,686469,ST,15.0,4.0,0.267,0.4636470588235294,1.116,0.533,87.66153846153846,0.571,13,0.0,0.308,0.231,0.308,0.211,0.053,MIN@KC,KC,MIN
33,Salvador Perez,521692,R,521692,CH,44.0,14.0,0.318,0.3746521739130435,0.893,0.22700000000000004,91.5875,0.588,32,0.125,0.406,0.312,0.219,0.261,0.043,MIN@KC,KC,MIN
34,Salvador Perez,521692,R,521692,CU,73.0,14.0,0.192,0.21285714285714286,0.475,0.05499999999999999,87.32272727272726,0.414,44,0.045,0.341,0.273,0.386,0.392,0.025,MIN@KC,KC,MIN
35,Salvador Perez,521692,R,521692,FC,79.0,16.0,0.203,0.2534074074074074,0.602,0.177,90.73134328358209,0.471,67,0.104,0.358,0.164,0.343,0.148,0.012,MIN@KC,KC,MIN
36,Salvador Perez,521692,R,521692,FF,189.0,46.0,0.243,0.32459808612440194,0.75,0.196,93.72748091603053,0.574,131,0.168,0.519,0.321,0.397,0.278,0.061,MIN@KC,KC,MIN
39,Salvador Perez,521692,R,521692,SI,148.0,56.0,0.378,0.4096518987341772,0.954,0.16900000000000004,90.78531468531467,0.608,143,0.084,0.51,0.315,0.203,0.049,0.031,MIN@KC,KC,MIN
40,Salvador Perez,521692,R,521692,SL,217.0,57.0,0.263,0.31699999999999995,0.741,0.175,89.05823529411765,0.49,170,0.112,0.394,0.253,0.347,0.214,0.06,MIN@KC,KC,MIN
41,Salvador Perez,521692,R,521692,ST,95.0,18.0,0.189,0.22989795918367348,0.536,0.137,87.0529411764706,0.405,68,0.059,0.324,0.176,0.368,0.29,0.03,MIN@KC,KC,MIN
43,Cavan Biggio,624415,R,624415,CH,37.0,7.0,0.189,0.28218181818181814,0.608,0.10799999999999998,77.66428571428571,0.2,28,0.036,0.107,0.107,0.25,0.222,0.156,MIN@KC,KC,MIN
44,Cavan Biggio,624415,R,624415,CU,23.0,3.0,0.13,0.27779310344827585,0.571,0.131,80.21818181818182,0.4,11,0.0,0.273,0.182,0.273,0.414,0.034,MIN@KC,KC,MIN
46,Cavan Biggio,624415,R,624415,FC,38.0,7.0,0.184,0.204875,0.457,0.05299999999999999,86.54642857142858,0.389,28,0.071,0.25,0.214,0.429,0.268,0.024,MIN@KC,KC,MIN
47,Cavan Biggio,624415,R,624415,FF,192.0,43.0,0.224,0.30164516129032254,0.684,0.151,87.51478873239436,0.412,142,0.085,0.345,0.232,0.331,0.232,0.109,MIN@KC,KC,MIN
50,Cavan Biggio,624415,R,624415,SI,62.0,16.0,0.258,0.3245810810810811,0.717,0.08100000000000002,88.34761904761905,0.3,42,0.024,0.286,0.262,0.214,0.27,0.149,MIN@KC,KC,MIN
51,Cavan Biggio,624415,R,624415,SL,41.0,6.0,0.146,0.2868518518518518,0.572,0.07400000000000001,84.57083333333334,0.4,24,0.0,0.333,0.167,0.25,0.315,0.167,MIN@KC,KC,MIN
52,Cavan Biggio,624415,R,624415,ST,12.0,3.0,0.25,0.4669333333333333,1.15,0.5,83.41428571428571,0.75,7,0.286,0.429,0.143,0.429,0.333,0.133,MIN@KC,KC,MIN
54,Maikel Garcia,672580,R,672580,CH,42.0,11.0,0.262,0.28086046511627905,0.66,0.119,90.88823529411764,0.471,34,0.088,0.471,0.176,0.324,0.186,0.0,MIN@KC,KC,MIN
55,Maikel Garcia,672580,R,672580,CU,54.0,11.0,0.204,0.19599999999999998,0.463,0.05500000000000002,86.0,0.429,42,0.024,0.357,0.357,0.143,0.222,0.0,MIN@KC,KC,MIN
56,Maikel Garcia,672580,R,672580,FC,73.0,15.0,0.205,0.25568749999999996,0.573,0.096,89.76833333333335,0.591,60,0.017,0.417,0.217,0.15,0.173,0.086,MIN@KC,KC,MIN
57,Maikel Garcia,672580,R,672580,FF,237.0,51.0,0.215,0.28636630036630034,0.634,0.10600000000000001,95.20060240963855,0.625,166,0.054,0.602,0.319,0.211,0.273,0.129,MIN@KC,KC,MIN
61,Maikel Garcia,672580,R,672580,SI,149.0,46.0,0.309,0.32532515337423323,0.735,0.067,91.7015503875969,0.627,129,0.016,0.566,0.279,0.116,0.144,0.078,MIN@KC,KC,MIN
62,Maikel Garcia,672580,R,672580,SL,177.0,45.0,0.254,0.254375,0.585,0.05099999999999999,87.27042253521127,0.343,142,0.014,0.324,0.289,0.204,0.199,0.038,MIN@KC,KC,MIN
63,Maikel Garcia,672580,R,672580,ST,59.0,16.0,0.271,0.31077419354838703,0.726,0.15299999999999997,86.07037037037037,0.577,54,0.074,0.333,0.296,0.185,0.095,0.048,MIN@KC,KC,MIN
65,MJ Melendez,669004,R,669004,CH,126.0,29.0,0.23,0.3020217391304348,0.702,0.17500000000000002,89.139,0.449,100,0.05,0.38,0.23,0.26,0.188,0.087,MIN@KC,KC,MIN
67,MJ Melendez,669004,R,669004,CU,75.0,11.0,0.147,0.21519047619047615,0.465,0.08000000000000002,88.24489795918367,0.571,49,0.102,0.327,0.184,0.245,0.31,0.083,MIN@KC,KC,MIN
68,MJ Melendez,669004,R,669004,FC,71.0,16.0,0.225,0.32176923076923075,0.76,0.24000000000000002,91.99464285714285,0.69,56,0.071,0.5,0.232,0.286,0.192,0.077,MIN@KC,KC,MIN
69,MJ Melendez,669004,R,669004,FF,258.0,58.0,0.225,0.3224630872483221,0.736,0.18599999999999997,95.04228571428573,0.647,175,0.126,0.583,0.251,0.411,0.285,0.132,MIN@KC,KC,MIN
71,MJ Melendez,669004,R,669004,SI,67.0,22.0,0.328,0.4285135135135134,1.034,0.314,97.0,0.821,56,0.179,0.679,0.214,0.286,0.149,0.095,MIN@KC,KC,MIN
72,MJ Melendez,669004,R,669004,SL,86.0,16.0,0.186,0.2803298969072165,0.638,0.174,90.58333333333333,0.567,48,0.146,0.417,0.208,0.417,0.392,0.103,MIN@KC,KC,MIN
73,MJ Melendez,669004,R,669004,ST,24.0,8.0,0.333,0.45234615384615384,1.093,0.37499999999999994,90.76923076923077,0.7,13,0.154,0.615,0.462,0.308,0.423,0.038,MIN@KC,KC,MIN
75,Freddy Fermin,666023,R,666023,CH,14.0,6.0,0.429,0.49294117647058816,1.172,0.21400000000000002,79.45454545454545,0.4,11,0.091,0.364,0.182,0.273,0.176,0.176,MIN@KC,KC,MIN
76,Freddy Fermin,666023,R,666023,CU,16.0,5.0,0.312,0.29175,0.669,0.063,82.125,0.286,12,0.0,0.25,0.333,0.25,0.294,0.0,MIN@KC,KC,MIN
78,Freddy Fermin,666023,R,666023,FC,35.0,9.0,0.257,0.33025,0.792,0.257,86.45483870967742,0.6,31,0.065,0.419,0.323,0.161,0.111,0.028,MIN@KC,KC,MIN
79,Freddy Fermin,666023,R,666023,FF,113.0,30.0,0.265,0.28009090909090906,0.638,0.062,86.7453488372093,0.394,86,0.047,0.407,0.186,0.198,0.23,0.066,MIN@KC,KC,MIN
82,Freddy Fermin,666023,R,666023,SI,96.0,22.0,0.229,0.2563106796116505,0.584,0.07299999999999998,89.64941176470587,0.2,85,0.024,0.4,0.176,0.118,0.107,0.068,MIN@KC,KC,MIN
83,Freddy Fermin,666023,R,666023,SL,81.0,21.0,0.259,0.29407142857142854,0.689,0.14799999999999996,87.44166666666666,0.412,60,0.067,0.317,0.267,0.3,0.259,0.035,MIN@KC,KC,MIN
84,Freddy Fermin,666023,R,666023,ST,23.0,7.0,0.304,0.34478260869565214,0.791,0.21800000000000003,87.69411764705882,0.364,17,0.059,0.294,0.176,0.471,0.346,0.0,MIN@KC,KC,MIN
86,Drew Waters,671221,R,671221,CH,31.0,6.0,0.194,0.23355882352941176,0.523,0.064,84.22608695652174,0.267,23,0.0,0.261,0.391,0.261,0.235,0.088,MIN@KC,KC,MIN
87,Drew Waters,671221,R,671221,CU,25.0,3.0,0.12,0.24230000000000002,0.498,0.12,93.65,0.875,14,0.071,0.643,0.214,0.357,0.387,0.097,MIN@KC,KC,MIN
88,Drew Waters,671221,R,671221,FC,19.0,5.0,0.263,0.40562499999999996,0.926,0.263,86.02727272727272,0.429,11,0.091,0.273,0.182,0.455,0.36,0.16,MIN@KC,KC,MIN
89,Drew Waters,671221,R,671221,FF,70.0,20.0,0.286,0.34145454545454546,0.794,0.15700000000000003,87.21538461538461,0.385,52,0.077,0.346,0.327,0.423,0.234,0.078,MIN@KC,KC,MIN
92,Drew Waters,671221,R,671221,SI,20.0,12.0,0.6,0.7403333333333333,1.819,0.6,93.025,0.75,16,0.312,0.5,0.188,0.312,0.19,0.048,MIN@KC,KC,MIN
93,Drew Waters,671221,R,671221,SL,37.0,6.0,0.162,0.23170731707317074,0.514,0.10800000000000001,88.71904761904761,0.643,21,0.095,0.476,0.286,0.381,0.39,0.073,MIN@KC,KC,MIN
94,Drew Waters,671221,R,671221,ST,12.0,1.0,0.083,0.1193846153846154,0.237,0.0,77.775,0.333,4,0.0,0.25,0.0,0.75,0.615,0.077,MIN@KC,KC,MIN
0,Brice Turang,668930,R,668930,CH,130.0,27.0,0.208,0.21658015267175573,0.507,0.092,78.56140350877193,0.209,114,0.035,0.149,0.202,0.175,0.148,0.007,MIL@COL,MIL,COL
2,Brice Turang,668930,R,668930,CU,80.0,17.0,0.212,0.2551294117647059,0.597,0.12600000000000003,87.72833333333332,0.36,60,0.017,0.317,0.283,0.133,0.235,0.059,MIL@COL,MIL,COL
5,Brice Turang,668930,R,668930,FF,246.0,67.0,0.272,0.3267642857142857,0.738,0.10999999999999999,88.91481481481482,0.333,189,0.032,0.339,0.286,0.286,0.215,0.12,MIL@COL,MIL,COL
8,Brice Turang,668930,R,668930,SI,96.0,27.0,0.281,0.3470267857142858,0.79,0.125,86.70625,0.368,80,0.025,0.375,0.3,0.175,0.143,0.143,MIL@COL,MIL,COL
9,Brice Turang,668930,R,668930,SL,113.0,29.0,0.257,0.2667058823529412,0.611,0.062,87.53478260869565,0.319,92,0.043,0.337,0.185,0.326,0.183,0.042,MIL@COL,MIL,COL
10,Brice Turang,668930,R,668930,ST,19.0,4.0,0.211,0.2638,0.618,0.157,88.74166666666667,0.429,12,0.083,0.333,0.333,0.25,0.35,0.05,MIL@COL,MIL,COL
12,Jackson Chourio,694192,R,694192,CH,17.0,3.0,0.176,0.3929473684210526,0.969,0.53,88.54166666666667,0.429,12,0.167,0.333,0.0,0.583,0.263,0.053,MIL@COL,MIL,COL
13,Jackson Chourio,694192,R,694192,CU,34.0,8.0,0.235,0.3339428571428571,0.816,0.32400000000000007,89.056,0.538,25,0.12,0.4,0.36,0.16,0.257,0.029,MIL@COL,MIL,COL
16,Jackson Chourio,694192,R,694192,FF,91.0,23.0,0.253,0.33718,0.793,0.21999999999999997,93.2,0.676,61,0.131,0.59,0.23,0.328,0.3,0.09,MIL@COL,MIL,COL
19,Jackson Chourio,694192,R,694192,PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,MIL@COL,MIL,COL
20,Jackson Chourio,694192,R,694192,SI,82.0,26.0,0.317,0.3699775280898876,0.867,0.183,90.04558823529412,0.696,68,0.059,0.471,0.206,0.132,0.167,0.067,MIL@COL,MIL,COL
21,Jackson Chourio,694192,R,694192,SL,76.0,25.0,0.329,0.4119753086419753,0.979,0.289,90.84262295081966,0.577,61,0.082,0.492,0.213,0.213,0.205,0.048,MIL@COL,MIL,COL
22,Jackson Chourio,694192,R,694192,ST,44.0,8.0,0.182,0.23447727272727273,0.564,0.20400000000000001,81.50571428571428,0.429,35,0.114,0.314,0.171,0.429,0.222,0.0,MIL@COL,MIL,COL
24,Christian Yelich,592885,R,592885,CH,94.0,28.0,0.298,0.3204489795918367,0.753,0.128,90.78333333333333,0.533,78,0.064,0.462,0.256,0.128,0.163,0.041,MIL@COL,MIL,COL
26,Christian Yelich,592885,R,592885,CU,64.0,14.0,0.219,0.29189855072463766,0.681,0.18700000000000003,92.12045454545455,0.591,44,0.136,0.477,0.182,0.318,0.29,0.058,MIL@COL,MIL,COL
28,Christian Yelich,592885,R,592885,FF,191.0,67.0,0.351,0.43883333333333335,1.033,0.22999999999999998,91.58322580645161,0.557,155,0.103,0.503,0.29,0.219,0.161,0.161,MIL@COL,MIL,COL
31,Christian Yelich,592885,R,592885,SI,73.0,21.0,0.288,0.40472222222222226,0.943,0.23300000000000004,92.9017543859649,0.75,57,0.14,0.632,0.246,0.175,0.178,0.189,MIL@COL,MIL,COL
32,Christian Yelich,592885,R,592885,SL,76.0,23.0,0.303,0.3892840909090909,0.906,0.21000000000000002,95.25454545454545,0.778,44,0.159,0.614,0.205,0.205,0.371,0.135,MIL@COL,MIL,COL
33,Christian Yelich,592885,R,592885,ST,14.0,2.0,0.143,0.23773333333333332,0.557,0.214,89.26,0.5,10,0.1,0.5,0.3,0.3,0.267,0.067,MIL@COL,MIL,COL
35,William Contreras,661388,R,661388,CH,63.0,10.0,0.159,0.21840579710144925,0.486,0.095,86.41666666666667,0.545,36,0.111,0.306,0.083,0.222,0.391,0.087,MIL@COL,MIL,COL
37,William Contreras,661388,R,661388,CU,59.0,20.0,0.339,0.42292307692307696,1.01,0.27099999999999996,88.89591836734694,0.5,49,0.122,0.367,0.204,0.245,0.154,0.092,MIL@COL,MIL,COL
40,William Contreras,661388,R,661388,FF,201.0,55.0,0.274,0.3605744680851064,0.83,0.179,94.66363636363637,0.643,154,0.123,0.578,0.182,0.273,0.203,0.131,MIL@COL,MIL,COL
45,William Contreras,661388,R,661388,SI,201.0,60.0,0.299,0.3638421052631579,0.845,0.16400000000000003,93.82272727272726,0.653,176,0.068,0.585,0.159,0.119,0.11,0.101,MIL@COL,MIL,COL
46,William Contreras,661388,R,661388,SL,169.0,48.0,0.284,0.34115217391304353,0.795,0.17200000000000004,87.6296875,0.6,128,0.086,0.391,0.266,0.203,0.231,0.081,MIL@COL,MIL,COL
47,William Contreras,661388,R,661388,ST,64.0,14.0,0.219,0.26356521739130434,0.603,0.10900000000000001,87.03414634146341,0.5,41,0.049,0.366,0.341,0.195,0.333,0.072,MIL@COL,MIL,COL
49,Garrett Mitchell,669003,R,669003,CH,38.0,10.0,0.263,0.2857948717948718,0.677,0.132,82.06129032258065,0.143,31,0.0,0.161,0.258,0.194,0.179,0.026,MIL@COL,MIL,COL
50,Garrett Mitchell,669003,R,669003,CU,25.0,6.0,0.24,0.3970740740740741,0.976,0.44000000000000006,89.63,0.556,20,0.2,0.4,0.25,0.2,0.185,0.074,MIL@COL,MIL,COL
53,Garrett Mitchell,669003,R,669003,FF,87.0,20.0,0.23,0.33758252427184465,0.775,0.19499999999999998,91.56888888888889,0.731,45,0.111,0.6,0.311,0.267,0.408,0.146,MIL@COL,MIL,COL
56,Garrett Mitchell,669003,R,669003,SI,30.0,8.0,0.267,0.32868571428571425,0.738,0.09999999999999998,86.85499999999999,0.429,20,0.05,0.4,0.2,0.15,0.286,0.143,MIL@COL,MIL,COL
57,Garrett Mitchell,669003,R,669003,SL,26.0,5.0,0.192,0.24853333333333336,0.531,0.03900000000000001,86.0375,0.5,16,0.062,0.375,0.25,0.0,0.333,0.133,MIL@COL,MIL,COL
58,Garrett Mitchell,669003,R,669003,ST,7.0,3.0,0.429,0.6974444444444443,1.842,0.857,81.75,0.5,6,0.333,0.333,0.167,0.5,0.111,0.222,MIL@COL,MIL,COL
60,Jake Bauers,641343,R,641343,CH,64.0,11.0,0.172,0.23897368421052634,0.491,0.016000000000000014,87.51891891891891,0.357,37,0.027,0.324,0.189,0.189,0.355,0.158,MIL@COL,MIL,COL
61,Jake Bauers,641343,R,641343,CU,52.0,6.0,0.115,0.19735714285714284,0.444,0.15400000000000003,87.46774193548387,0.632,31,0.097,0.419,0.355,0.258,0.386,0.053,MIL@COL,MIL,COL
64,Jake Bauers,641343,R,641343,FF,158.0,37.0,0.234,0.3548469945355191,0.833,0.26,92.25555555555555,0.641,99,0.182,0.566,0.273,0.374,0.322,0.131,MIL@COL,MIL,COL
67,Jake Bauers,641343,R,641343,SI,61.0,15.0,0.246,0.36139130434782607,0.854,0.279,91.08372093023256,0.63,43,0.233,0.488,0.256,0.372,0.271,0.114,MIL@COL,MIL,COL
68,Jake Bauers,641343,R,641343,SL,73.0,12.0,0.164,0.2537283950617284,0.576,0.165,85.60909090909091,0.55,33,0.121,0.455,0.303,0.303,0.494,0.074,MIL@COL,MIL,COL
69,Jake Bauers,641343,R,641343,ST,25.0,3.0,0.12,0.1611851851851852,0.345,0.04000000000000001,92.875,0.625,12,0.167,0.583,0.25,0.417,0.481,0.074,MIL@COL,MIL,COL
71,Joey Ortiz,687401,R,687401,CH,11.0,3.0,0.273,0.23318181818181818,0.523,0.0,86.66666666666667,0.333,9,0.0,0.333,0.111,0.222,0.25,0.0,MIL@COL,MIL,COL
72,Joey Ortiz,687401,R,687401,CU,19.0,5.0,0.263,0.2663684210526316,0.631,0.10499999999999998,80.36923076923077,0.4,13,0.0,0.231,0.231,0.154,0.316,0.0,MIL@COL,MIL,COL
75,Joey Ortiz,687401,R,687401,FF,103.0,27.0,0.262,0.36756666666666665,0.862,0.23299999999999998,92.52337662337662,0.674,77,0.091,0.571,0.299,0.299,0.217,0.142,MIL@COL,MIL,COL
78,Joey Ortiz,687401,R,687401,SI,95.0,21.0,0.221,0.2571132075471698,0.559,0.04200000000000001,84.06333333333333,0.333,90,0.022,0.322,0.1,0.1,0.065,0.083,MIL@COL,MIL,COL
79,Joey Ortiz,687401,R,687401,SL,62.0,15.0,0.242,0.30094285714285707,0.679,0.11299999999999999,88.60392156862746,0.524,51,0.059,0.412,0.235,0.176,0.169,0.113,MIL@COL,MIL,COL
80,Joey Ortiz,687401,R,687401,ST,24.0,6.0,0.25,0.31088,0.717,0.20800000000000002,82.20588235294117,0.222,17,0.059,0.176,0.235,0.294,0.333,0.037,MIL@COL,MIL,COL
82,Oliver Dunn,686554,R,686554,CH,11.0,1.0,0.091,0.1431818181818182,0.364,0.18200000000000002,83.9875,0.333,8,0.0,0.375,0.25,0.125,0.273,0.0,MIL@COL,MIL,COL
83,Oliver Dunn,686554,R,686554,CU,6.0,0.0,0.0,0.09957142857142856,0.143,0.0,86.56666666666668,1.0,3,0.0,0.667,0.333,0.0,0.429,0.143,MIL@COL,MIL,COL
85,Oliver Dunn,686554,R,686554,FF,35.0,8.0,0.229,0.28475675675675677,0.67,0.171,90.74,0.583,20,0.15,0.55,0.15,0.45,0.405,0.027,MIL@COL,MIL,COL
87,Oliver Dunn,686554,R,686554,SI,18.0,6.0,0.333,0.34385714285714286,0.742,0.0,90.4,0.5,13,0.0,0.538,0.308,0.154,0.273,0.136,MIL@COL,MIL,COL
88,Oliver Dunn,686554,R,686554,SL,12.0,2.0,0.167,0.17525,0.404,0.08299999999999999,78.3111111111111,0.0,9,0.0,0.222,0.222,0.222,0.308,0.0,MIL@COL,MIL,COL
89,Oliver Dunn,686554,R,686554,ST,3.0,2.0,0.667,0.701,1.667,0.33299999999999996,99.4,0.5,2,0.0,0.5,1.0,0.0,0.333,0.0,MIL@COL,MIL,COL
91,Eric Haase,606992,R,606992,CH,13.0,5.0,0.385,0.4482307692307692,1.077,0.30699999999999994,84.2375,0.6,8,0.125,0.5,0.375,0.25,0.385,0.0,MIL@COL,MIL,COL
92,Eric Haase,606992,R,606992,CU,21.0,4.0,0.19,0.16285714285714287,0.38,0.0,86.45833333333333,0.4,12,0.0,0.333,0.25,0.167,0.429,0.0,MIL@COL,MIL,COL
95,Eric Haase,606992,R,606992,FF,65.0,15.0,0.231,0.28920547945205477,0.653,0.10700000000000001,88.72666666666666,0.591,45,0.067,0.444,0.222,0.267,0.274,0.11,MIL@COL,MIL,COL
98,Eric Haase,606992,R,606992,SI,38.0,7.0,0.184,0.184475,0.409,0.0,82.98787878787878,0.364,33,0.03,0.303,0.242,0.091,0.125,0.05,MIL@COL,MIL,COL
99,Eric Haase,606992,R,606992,SL,65.0,15.0,0.231,0.27155072463768115,0.622,0.12299999999999997,88.16666666666667,0.48,45,0.089,0.356,0.267,0.289,0.31,0.056,MIL@COL,MIL,COL
100,Eric Haase,606992,R,606992,ST,15.0,3.0,0.2,0.24826666666666666,0.6,0.2,81.22222222222223,0.4,9,0.0,0.222,0.222,0.333,0.4,0.0,MIL@COL,MIL,COL
0,Brenton Doyle,686668,R,686668,CH,26.0,7.0,0.269,0.3333333333333333,0.796,0.23099999999999998,91.27142857142857,0.833,14,0.071,0.5,0.214,0.214,0.444,0.037,MIL@COL,COL,MIL
